Item,Frequency,Formal_IPA,Casual_IPA
다친 거지,5,[ta.tʃʰiŋ.kʌ.tʃi],[da.tʃʰin.gʌ.dʒi]
다친 거 아니야,5,[ta.tʃʰiŋ.kʌ.a.ni.ja],[da.tʃʰin.gʌ.a.ni.ja]
다치진 않았어요 잘,5,[ta.tʃʰi.tʃin.an.at̚.ʌ.jo.tʃal],[da.tʃʰi.dʒin.an.at̚.ʌ.jo.dʒal]
그녀를 죽이려는,5,[kɯ.njʌ.ɾɯl.tʃuk̚.i.ɾjʌ.nɯn],[gɯ.njʌ.ɾɯl.dʒuk̚.i.ɾjʌ.nɯn]
안 부장,5,[am.pu.tʃaŋ],[an.bu.dʒaŋ]
안 부릴,5,[am.pu.ɾil],[an.bu.ɾil]
안 불렀는데요,5,[am.pul.ɾʌt̚.nɯn.te.jo],[an.bul.ɾʌt̚.nɯn.te.jo]
안 불렀어 진짜,5,[am.pul.ɾʌt̚.ʌ.tʃin.tʃ͈a],[an.bul.ɾʌt̚.ʌ.dʒin.tʃ͈a]
다친 건지,5,[ta.tʃʰiŋ.kʌn.tʃi],[da.tʃʰin.gʌn.tʃi]
다친 건데,5,[ta.tʃʰiŋ.kʌn.te],[da.tʃʰin.gʌn.te]
다친 걸까요,5,[ta.tʃʰiŋ.kʌl.k͈a.jo],[da.tʃʰin.gʌl.k͈a.jo]
그녀를 죽이지 않을,5,[kɯ.njʌ.ɾɯl.tʃuk̚.i.tʃi.an.ɯl],[gɯ.njʌ.ɾɯl.dʒuk̚.i.dʒi.an.ɯl]
거리가 없죠,5,[kʌ.ɾi.ka.ʌp̚.tʃjo],[gʌ.ɾi.ga.ʌp̚.tʃjo]
안 불쌍해,5,[am.pul.s͈aŋ.hɛ],[an.bul.s͈aŋ.hɛ]
안 불어요,5,[am.pul.ʌ.jo],[an.bul.ʌ.jo]
다친 겁니까,5,[ta.tʃʰiŋ.kʌp̚.ni.k͈a],[da.tʃʰin.gʌp̚.ni.k͈a]
안 불편해요,5,[am.pul.pʰjʌn.hɛ.jo],[an.bul.pʰjʌn.hɛ.jo]
안 붙습니다,5,[am.put̚.sɯp̚.ni.ta],[an.but̚.sɯp̚.ni.da]
다친 것 같은데,5,[ta.tʃʰiŋ.kʌt̚.kat̚.ɯn.te],[da.tʃʰin.gʌt̚.gat̚.ɯn.te]
그녀를 죽인거야,5,[kɯ.njʌ.ɾɯl.tʃuk̚.iŋ.kʌ.ja],[gɯ.njʌ.ɾɯl.dʒuk̚.iŋ.kʌ.ja]
안 붙잡아,5,[am.put̚.tʃap̚.a],[an.but̚.tʃap̚.a]
거리가 있어서,5,[kʌ.ɾi.ka.it̚.ʌ.sʌ],[gʌ.ɾi.ga.it̚.ʌ.sʌ]
거리가 없어,5,[kʌ.ɾi.ka.ʌp̚.ʌ],[gʌ.ɾi.ga.ʌp̚.ʌ]
안 빌,5,[am.pil],[an.bil]
안 비킬,5,[am.pi.kʰil],[an.bi.kʰil]
안 비쳐,5,[am.pi.tʃʰjʌ],[an.bi.tʃʰjʌ]
안 빗나갈 거야,5,[am.pit̚.na.kal.kʌ.ja],[an.bit̚.na.gal.gʌ.ja]
안 빗나갈,5,[am.pit̚.na.kal],[an.bit̚.na.gal]
안 비싼,5,[am.pi.s͈an],[an.bi.s͈an]
안 빨아도,5,[am.p͈al.a.to],[am.p͈al.a.do]
다친 데는 없니,5,[ta.tʃʰin.te.nɯn.ʌp̚.ni],[da.tʃʰin.de.nɯn.ʌp̚.ni]
안 빼먹어,5,[am.p͈ɛ.mʌk̚.ʌ],[am.p͈ɛ.mʌk̚.ʌ]
다친 덴 없어요,5,[ta.tʃʰin.ten.ʌp̚.ʌ.jo],[da.tʃʰin.den.ʌp̚.ʌ.jo]
그녀를 직접,5,[kɯ.njʌ.ɾɯl.tʃik̚.tʃʌp̚],[gɯ.njʌ.ɾɯl.dʒik̚.tʃʌp̚]
그녀를 지켜봐요,5,[kɯ.njʌ.ɾɯl.tʃi.kʰjʌ.pwa.jo],[gɯ.njʌ.ɾɯl.dʒi.kʰjʌ.bwa.jo]
그녀를 지켜보고,5,[kɯ.njʌ.ɾɯl.tʃi.kʰjʌ.po.ko],[gɯ.njʌ.ɾɯl.dʒi.kʰjʌ.bo.go]
그녀를 지켜,5,[kɯ.njʌ.ɾɯl.tʃi.kʰjʌ],[gɯ.njʌ.ɾɯl.dʒi.kʰjʌ]
was awesome,5,,
was as,5,,
There''s an escape,5,,
안 뺏겼어,5,[am.p͈ɛt̚.kjʌt̚.ʌ],[am.p͈ɛt̚.kjʌt̚.ʌ]
안 뺏을,5,[am.p͈ɛt̚.ɯl],[am.p͈ɛt̚.ɯl]
안 뺄 거야,5,[am.p͈ɛl.kʌ.ja],[am.p͈ɛl.gʌ.ja]
안 뽑았어,5,[am.p͈op̚.at̚.ʌ],[am.p͈op̚.at̚.ʌ]
다친 사람은 없어,5,[ta.tʃʰin.sa.ɾam.ɯn.ʌp̚.ʌ],[da.tʃʰin.sa.ɾam.ɯn.ʌp̚.ʌ]
다친 사람도 없잖아 쟤는,5,[ta.tʃʰin.sa.ɾan.to.ʌp̚.tʃan.a.tʃjɛ.nɯn],[da.tʃʰin.sa.ɾan.to.ʌp̚.tʃan.a.dʒjɛ.nɯn]
안 사귀었어,5,[an.sa.kwi.ʌt̚.ʌ],[an.sa.gwi.ʌt̚.ʌ]
안 사도 돼,5,[an.sa.to.twɛ],[an.sa.do.dwɛ]
다친 사람은요,5,[ta.tʃʰin.sa.ɾam.ɯn.jo],[da.tʃʰin.sa.ɾam.ɯn.jo]
그녀를 찾고 있어요,5,[kɯ.njʌ.ɾɯl.tʃʰat̚.ko.it̚.ʌ.jo],[gɯ.njʌ.ɾɯl.tʃʰat̚.ko.it̚.ʌ.jo]
안 사실인데,5,[an.sa.sil.in.te],[an.sa.sil.in.te]
안 사줄 거야,5,[an.sa.tʃul.kʌ.ja],[an.sa.dʒul.gʌ.ja]
