Item,Frequency,Formal_IPA,Casual_IPA
꽤 좋지,9,[k͈wɛ.tʃot̚.tʃi],[k͈wɛ.dʒot̚.tʃi]
있어요 카메라,9,[it̚.ʌ.jo.kʰa.me.ɾa],[it̚.ʌ.jo.kʰa.me.ɾa]
꽤 커요,9,[k͈wɛ.kʰʌ.jo],[k͈wɛ.kʰʌ.jo]
있어요 하지만 제,9,[it̚.ʌ.jo.ha.tʃi.man.tʃe],[it̚.ʌ.jo.ha.dʒi.man.dʒe]
있어요 한 명은,9,[it̚.ʌ.jo.han.mjʌŋ.ɯn],[it̚.ʌ.jo.han.mjʌŋ.ɯn]
있어요 한 번,9,[it̚.ʌ.jo.ham.pʌn],[it̚.ʌ.jo.han.bʌn]
간이 배,9,[kan.i.pɛ],[gan.i.bɛ]
말고요 그건,9,[mal.ko.jo.kɯ.kʌn],[mal.ko.jo.gɯ.gʌn]
말고요 그,9,[mal.ko.jo.kɯ],[mal.ko.jo.gɯ]
내 손수건,9,[nɛ.son.su.kʌn],[nɛ.son.su.gʌn]
있어요 헤이,9,[it̚.ʌ.jo.he.i],[it̚.ʌ.jo.he.i]
꽤 확신하는,9,[k͈wɛ.hwak̚.sin.ha.nɯn],[k͈wɛ.hwak̚.sin.ha.nɯn]
있어줘서 고마워요,9,[it̚.ʌ.tʃwʌ.sʌ.ko.ma.wʌ.jo],[it̚.ʌ.dʒwʌ.sʌ.go.ma.wʌ.jo]
있었거든 그래,9,[it̚.ʌt̚.kʌ.tɯŋ.kɯ.ɾɛ],[it̚.ʌt̚.kʌ.dɯn.gɯ.ɾɛ]
말고요 좋아요,9,[mal.ko.jo.tʃot̚.a.jo],[mal.ko.jo.dʒot̚.a.jo]
간이 안,9,[kan.i.an],[gan.i.an]
It''s beautiful,9,,
꽤 힘들,9,[k͈wɛ.hin.tɯl],[k͈wɛ.hin.tɯl]
말과 총이,9,[mal.kwa.tʃʰoŋ.i],[mal.kwa.tʃʰoŋ.i]
꽤나 오래,9,[k͈wɛ.na.o.ɾɛ],[k͈wɛ.na.o.ɾɛ]
있었고 그걸,9,[it̚.ʌt̚.ko.kɯ.kʌl],[it̚.ʌt̚.ko.gɯ.gʌl]
있었고 그녀는,9,[it̚.ʌt̚.ko.kɯ.njʌ.nɯn],[it̚.ʌt̚.ko.gɯ.njʌ.nɯn]
있었고 근데,9,[it̚.ʌt̚.ko.kɯn.te],[it̚.ʌt̚.ko.gɯn.te]
날 데려갔던,9,[nal.te.ɾjʌ.kat̚.tʌn],[nal.de.ɾjʌ.gat̚.tʌn]
좋아하는지 몰라서,9,[tʃot̚.a.ha.nɯn.tʃi.mol.ɾa.sʌ],[dʒot̚.a.ha.nɯn.tʃi.mol.ɾa.sʌ]
날 데려갈 거야,9,[nal.te.ɾjʌ.kal.kʌ.ja],[nal.de.ɾjʌ.gal.gʌ.ja]
있었구나 뭐,9,[it̚.ʌt̚.ku.na.mwʌ],[it̚.ʌt̚.ku.na.mwʌ]
있었구나 우리,9,[it̚.ʌt̚.ku.na.u.ɾi],[it̚.ʌt̚.ku.na.u.ɾi]
꾸고 있었어,9,[k͈u.ko.it̚.ʌt̚.ʌ],[k͈u.go.it̚.ʌt̚.ʌ]
가서 함께,9,[ka.sʌ.ham.k͈e],[ga.sʌ.ham.k͈e]
되긴 뭐가 안,9,[twe.kin.mwʌ.ka.an],[dwe.gin.mwʌ.ga.an]
그렇게 말해 봐,9,[kɯ.ɾʌt̚.ke.mal.hɛ.pwa],[gɯ.ɾʌt̚.ke.mal.hɛ.bwa]
있었네요 네,9,[it̚.ʌt̚.ne.jo.ne],[it̚.ʌt̚.ne.jo.ne]
꾸리고 싶어요,9,[k͈u.ɾi.ko.sip̚.ʌ.jo],[k͈u.ɾi.go.sip̚.ʌ.jo]
채기 전에,9,[tʃʰɛ.ki.tʃʌn.e],[tʃʰɛ.gi.dʒʌn.e]
있었는데 그래,9,[it̚.ʌt̚.nɯn.te.kɯ.ɾɛ],[it̚.ʌt̚.nɯn.te.gɯ.ɾɛ]
것 같은데 가는,9,[kʌt̚.kat̚.ɯn.te.ka.nɯn],[gʌt̚.gat̚.ɯn.te.ga.nɯn]
있었는데 그렇게,9,[it̚.ʌt̚.nɯn.te.kɯ.ɾʌt̚.ke],[it̚.ʌt̚.nɯn.te.gɯ.ɾʌt̚.ke]
것 같은데 가는 길에,9,[kʌt̚.kat̚.ɯn.te.ka.nɯŋ.kil.e],[gʌt̚.gat̚.ɯn.te.ga.nɯn.gil.e]
있었는데 근데,9,[it̚.ʌt̚.nɯn.te.kɯn.te],[it̚.ʌt̚.nɯn.te.gɯn.te]
말도 듣기,9,[mal.to.tɯt̚.ki],[mal.to.dɯt̚.ki]
있었는데 말이에요,9,[it̚.ʌt̚.nɯn.te.mal.i.e.jo],[it̚.ʌt̚.nɯn.te.mal.i.e.jo]
not worried,9,,
가서 해야,9,[ka.sʌ.hɛ.ja],[ga.sʌ.hɛ.ja]
꾸며낸 게,9,[k͈u.mjʌ.nɛŋ.ke],[k͈u.mjʌ.nɛn.ge]
말도 맞아요,9,[mal.to.mat̚.a.jo],[mal.to.mat̚.a.jo]
말도 못 하겠어,9,[mal.to.mot̚.ha.ket̚.ʌ],[mal.to.mot̚.ha.get̚.ʌ]
꾸물거리지 마,9,[k͈u.mul.kʌ.ɾi.tʃi.ma],[k͈u.mul.kʌ.ɾi.dʒi.ma]
말도 못 했어요,9,[mal.to.mot̚.hɛt̚.ʌ.jo],[mal.to.mot̚.hɛt̚.ʌ.jo]
말도 별로,9,[mal.to.pjʌl.ɾo],[mal.to.bjʌl.ɾo]
꾸물대지 말고 빨리,9,[k͈u.mul.tɛ.tʃi.mal.ko.p͈al.ɾi],[k͈u.mul.tɛ.dʒi.mal.ko.p͈al.ɾi]
있었는지 말야,9,[it̚.ʌt̚.nɯn.tʃi.mal.ja],[it̚.ʌt̚.nɯn.tʃi.mal.ja]
있었는지 말해줄 수,9,[it̚.ʌt̚.nɯn.tʃi.mal.hɛ.tʃul.su],[it̚.ʌt̚.nɯn.tʃi.mal.hɛ.dʒul.su]
말도 안 돼 그럴,9,[mal.to.an.twɛ.kɯ.ɾʌl],[mal.to.an.dwɛ.gɯ.ɾʌl]
있었는지 모르지만,9,[it̚.ʌt̚.nɯn.tʃi.mo.ɾɯ.tʃi.man],[it̚.ʌt̚.nɯn.tʃi.mo.ɾɯ.dʒi.man]
있었는지 몰랐어요,9,[it̚.ʌt̚.nɯn.tʃi.mol.ɾat̚.ʌ.jo],[it̚.ʌt̚.nɯn.tʃi.mol.ɾat̚.ʌ.jo]
있었는지 아나,9,[it̚.ʌt̚.nɯn.tʃi.a.na],[it̚.ʌt̚.nɯn.tʃi.a.na]
말도 안 돼 누가,9,[mal.to.an.twɛ.nu.ka],[mal.to.an.dwɛ.nu.ga]
있었는지 알아내야 해,9,[it̚.ʌt̚.nɯn.tʃi.al.a.nɛ.ja.hɛ],[it̚.ʌt̚.nɯn.tʃi.al.a.nɛ.ja.hɛ]
있었는지 알잖아,9,[it̚.ʌt̚.nɯn.tʃi.al.tʃan.a],[it̚.ʌt̚.nɯn.tʃi.al.tʃan.a]
있었는지 어떻게,9,[it̚.ʌt̚.nɯn.tʃi.ʌ.t͈ʌt̚.ke],[it̚.ʌt̚.nɯn.tʃi.ʌ.t͈ʌt̚.ke]
있었는지 잘,9,[it̚.ʌt̚.nɯn.tʃi.tʃal],[it̚.ʌt̚.nɯn.tʃi.dʒal]
채운 다음,9,[tʃʰɛ.un.ta.ɯm],[tʃʰɛ.un.da.ɯm]
있었는지도 몰라요,9,[it̚.ʌt̚.nɯn.tʃi.to.mol.ɾa.jo],[it̚.ʌt̚.nɯn.tʃi.do.mol.ɾa.jo]
되길 바래요,9,[twe.kil.pa.ɾɛ.jo],[dwe.gil.ba.ɾɛ.jo]
꾸민 거,9,[k͈u.miŋ.kʌ],[k͈u.min.gʌ]
말도 안 돼 저,9,[mal.to.an.twɛ.tʃʌ],[mal.to.an.dwɛ.dʒʌ]
있었다 누가,9,[it̚.ʌt̚.ta.nu.ka],[it̚.ʌt̚.ta.nu.ga]
