Item,Frequency,Formal_IPA,Casual_IPA
같이 일했을,8,[kat̚.i.il.hɛt̚.ɯl],[gat̚.i.il.hɛt̚.ɯl]
그 애가 그렇게,8,[kɯ.ɛ.ka.kɯ.ɾʌt̚.ke],[gɯ.ɛ.ga.gɯ.ɾʌt̚.ke]
말 들어요 당신은,8,[mal.tɯl.ʌ.jo.taŋ.sin.ɯn],[mal.dɯl.ʌ.jo.daŋ.sin.ɯn]
세상에서 가장 행복한 남자로,8,[se.saŋ.e.sʌ.ka.tʃaŋ.hɛm.pok̚.han.nan.tʃa.ɾo],[se.saŋ.e.sʌ.ga.dʒaŋ.hɛŋ.bok̚.han.nan.tʃa.ɾo]
세상에서 그,8,[se.saŋ.e.sʌ.kɯ],[se.saŋ.e.sʌ.gɯ]
같이 일했지,8,[kat̚.i.il.hɛt̚.tʃi],[gat̚.i.il.hɛt̚.tʃi]
세상에서 날,8,[se.saŋ.e.sʌ.nal],[se.saŋ.e.sʌ.nal]
세상에서 내가 제일,8,[se.saŋ.e.sʌ.nɛ.ka.tʃe.il],[se.saŋ.e.sʌ.nɛ.ga.dʒe.il]
그 애가 네,8,[kɯ.ɛ.ka.ne],[gɯ.ɛ.ga.ne]
세상에서 다시,8,[se.saŋ.e.sʌ.ta.si],[se.saŋ.e.sʌ.da.si]
세상에서 누가 제일 예쁘니,8,[se.saŋ.e.sʌ.nu.ka.tʃe.il.je.p͈ɯ.ni],[se.saŋ.e.sʌ.nu.ga.dʒe.il.je.p͈ɯ.ni]
네 명이고,8,[ne.mjʌŋ.i.ko],[ne.mjʌŋ.i.go]
그 애가 다른,8,[kɯ.ɛ.ka.ta.ɾɯn],[gɯ.ɛ.ga.da.ɾɯn]
그 애가 당신,8,[kɯ.ɛ.ka.taŋ.sin],[gɯ.ɛ.ga.daŋ.sin]
찾아가 봐요,8,[tʃʰat̚.a.ka.pwa.jo],[tʃʰat̚.a.ga.bwa.jo]
세상에서 이,8,[se.saŋ.e.sʌ.i],[se.saŋ.e.sʌ.i]
세상에서 제일 귀여운,8,[se.saŋ.e.sʌ.tʃe.il.kwi.jʌ.un],[se.saŋ.e.sʌ.dʒe.il.gwi.jʌ.un]
네 모든 게,8,[ne.mo.tɯŋ.ke],[ne.mo.dɯn.ge]
세상에서 제일 지루한,8,[se.saŋ.e.sʌ.tʃe.il.tʃi.ɾu.han],[se.saŋ.e.sʌ.dʒe.il.dʒi.ɾu.han]
세상에서 최고로,8,[se.saŋ.e.sʌ.tʃʰwe.ko.ɾo],[se.saŋ.e.sʌ.tʃʰwe.go.ɾo]
세상에서 한번도,8,[se.saŋ.e.sʌ.ham.pʌn.to],[se.saŋ.e.sʌ.ham.pʌn.to]
당신 문제예요,8,[taŋ.sin.mun.tʃe.je.jo],[daŋ.sin.mun.tʃe.je.jo]
세상엔 두 종류의,8,[se.saŋ.en.tu.tʃoŋ.ɾju.ɯi],[se.saŋ.en.du.dʒoŋ.ɾju.ɯi]
세상엔 우리,8,[se.saŋ.en.u.ɾi],[se.saŋ.en.u.ɾi]
세상엔 좋은,8,[se.saŋ.en.tʃot̚.ɯn],[se.saŋ.en.dʒot̚.ɯn]
세상은 계속,8,[se.saŋ.ɯŋ.kje.sok̚],[se.saŋ.ɯn.gje.sok̚]
네 목소리가 듣고,8,[ne.mok̚.so.ɾi.ka.tɯt̚.ko],[ne.mok̚.so.ɾi.ga.dɯt̚.ko]
있어 아저씨,8,[it̚.ʌ.a.tʃʌ.s͈i],[it̚.ʌ.a.dʒʌ.s͈i]
세상은 내가,8,[se.saŋ.ɯn.nɛ.ka],[se.saŋ.ɯn.nɛ.ga]
세상은 넓어,8,[se.saŋ.ɯn.nʌl.ʌ],[se.saŋ.ɯn.nʌl.ʌ]
네 목소리를 들으니,8,[ne.mok̚.so.ɾi.ɾɯl.tɯl.ɯ.ni],[ne.mok̚.so.ɾi.ɾɯl.dɯl.ɯ.ni]
그 애는 너무,8,[kɯ.ɛ.nɯn.nʌ.mu],[gɯ.ɛ.nɯn.nʌ.mu]
