Item,Frequency,Formal_IPA,Casual_IPA
옷 전부,12,[ot̚.tʃʌm.pu],[ot̚.dʒʌm.pu]
있는 모든 걸 하고,12,[it̚.nɯn.mo.tɯŋ.kʌl.ha.ko],[it̚.nɯn.mo.dɯn.gʌl.ha.go]
있는 모든 도움이,12,[it̚.nɯn.mo.tɯn.to.um.i],[it̚.nɯn.mo.dɯn.do.um.i]
만이 아니라,12,[man.i.a.ni.ɾa],[man.i.a.ni.ɾa]
난 필요할,12,[nam.pʰil.jo.hal],[nam.pʰil.jo.hal]
차를 가져올,12,[tʃʰa.ɾɯl.ka.tʃjʌ.ol],[tʃʰa.ɾɯl.ga.dʒjʌ.ol]
차를 가지러,12,[tʃʰa.ɾɯl.ka.tʃi.ɾʌ],[tʃʰa.ɾɯl.ga.dʒi.ɾʌ]
깨고서 緊張を撫で回して,12,[k͈ɛ.ko.sʌ],[k͈ɛ.go.sʌ]
계산서 줘요,12,[kje.san.sʌ.tʃwʌ.jo],[gje.san.sʌ.dʒwʌ.jo]
있는 법이니까,12,[it̚.nɯm.pʌp̚.i.ni.k͈a],[it̚.nɯn.bʌp̚.i.ni.k͈a]
나는 일단,12,[na.nɯn.il.tan],[na.nɯn.il.tan]
옷으로 갈아입고,12,[ot̚.ɯ.ɾo.kal.a.ip̚.ko],[ot̚.ɯ.ɾo.gal.a.ip̚.ko]
좋아 너희들,12,[tʃot̚.a.nʌ.hɯi.tɯl],[dʒot̚.a.nʌ.hɯi.dɯl]
옷은 내가,12,[ot̚.ɯn.nɛ.ka],[ot̚.ɯn.nɛ.ga]
있는 부분을,12,[it̚.nɯm.pu.pun.ɯl],[it̚.nɯn.bu.bun.ɯl]
뭘 하고 있나,12,[mwʌl.ha.ko.it̚.na],[mwʌl.ha.go.it̚.na]
됐다 그리고,12,[twɛt̚.ta.kɯ.ɾi.ko],[dwɛt̚.ta.gɯ.ɾi.go]
뭘 하고 있는거지,12,[mwʌl.ha.ko.it̚.nɯŋ.kʌ.tʃi],[mwʌl.ha.go.it̚.nɯŋ.kʌ.dʒi]
not his,12,,
옷을 그렇게,12,[ot̚.ɯl.kɯ.ɾʌt̚.ke],[ot̚.ɯl.gɯ.ɾʌt̚.ke]
아무것도 할 수 없었어요,12,[a.mu.kʌt̚.to.hal.su.ʌp̚.ʌt̚.ʌ.jo],[a.mu.gʌt̚.to.hal.su.ʌp̚.ʌt̚.ʌ.jo]
있는 사람이라는,12,[it̚.nɯn.sa.ɾam.i.ɾa.nɯn],[it̚.nɯn.sa.ɾam.i.ɾa.nɯn]
있는 사람이면,12,[it̚.nɯn.sa.ɾam.i.mjʌn],[it̚.nɯn.sa.ɾam.i.mjʌn]
있는 사람인지,12,[it̚.nɯn.sa.ɾam.in.tʃi],[it̚.nɯn.sa.ɾam.in.tʃi]
