Item,Frequency,Formal_IPA,Casual_IPA
음식 나왔다,5,[ɯm.sik̚.na.wat̚.ta],[ɯm.sik̚.na.wat̚.ta]
따지고 보면 다,5,[t͈a.tʃi.ko.po.mjʌn.ta],[t͈a.dʒi.go.bo.mjʌn.da]
음식 때문에 고군분투하던 때는,5,[ɯm.sik̚.t͈ɛ.mun.e.ko.kum.pun.tʰu.ha.tʌn.t͈ɛ.nɯn],[ɯm.sik̚.t͈ɛ.mun.e.go.gum.pun.tʰu.ha.dʌn.t͈ɛ.nɯn]
음식 때문에 고군분투하던,5,[ɯm.sik̚.t͈ɛ.mun.e.ko.kum.pun.tʰu.ha.tʌn],[ɯm.sik̚.t͈ɛ.mun.e.go.gum.pun.tʰu.ha.dʌn]
따지는 것,5,[t͈a.tʃi.nɯŋ.kʌt̚],[t͈a.dʒi.nɯn.gʌt̚]
따지고 보면 네,5,[t͈a.tʃi.ko.po.mjʌn.ne],[t͈a.dʒi.go.bo.mjʌn.ne]
음식 맛을,5,[ɯm.sik̚.mat̚.ɯl],[ɯm.sik̚.mat̚.ɯl]
음식 먹을,5,[ɯm.sik̚.mʌk̚.ɯl],[ɯm.sik̚.mʌk̚.ɯl]
따지지 말자,5,[t͈a.tʃi.tʃi.mal.tʃa],[t͈a.dʒi.dʒi.mal.tʃa]
걸 가져올,5,[kʌl.ka.tʃjʌ.ol],[gʌl.ga.dʒjʌ.ol]
가끔 모든,5,[ka.k͈ɯm.mo.tɯn],[ga.k͈ɯm.mo.dɯn]
가끔 머리가,5,[ka.k͈ɯm.mʌ.ɾi.ka],[ga.k͈ɯm.mʌ.ɾi.ga]
You raped her,5,,
음식 사 왔어,5,[ɯm.sik̚.sa.wat̚.ʌ],[ɯm.sik̚.sa.wat̚.ʌ]
따지지도 말고,5,[t͈a.tʃi.tʃi.to.mal.ko],[t͈a.dʒi.dʒi.do.mal.ko]
따지지 않을,5,[t͈a.tʃi.tʃi.an.ɯl],[t͈a.dʒi.dʒi.an.ɯl]
음식 시켜,5,[ɯm.sik̚.si.kʰjʌ],[ɯm.sik̚.si.kʰjʌ]
음식 얘기를,5,[ɯm.sik̚.jɛ.ki.ɾɯl],[ɯm.sik̚.jɛ.gi.ɾɯl]
음식 쓰레기,5,[ɯm.sik̚.s͈ɯ.ɾe.ki],[ɯm.sik̚.s͈ɯ.ɾe.gi]
음식 솜씨,5,[ɯm.sik̚.som.s͈i],[ɯm.sik̚.som.s͈i]
그만 나가시죠,5,[kɯ.man.na.ka.si.tʃjo],[gɯ.man.na.ga.si.dʒjo]
