Item,Frequency,Formal_IPA,Casual_IPA
다가오고 있다고,11,[ta.ka.o.ko.it̚.ta.ko],[da.ga.o.go.it̚.ta.go]
아무 소리도 들리지,11,[a.mu.so.ɾi.to.tɯl.ɾi.tʃi],[a.mu.so.ɾi.do.dɯl.ɾi.dʒi]
light of the,11,,
아무 소용 없는,11,[a.mu.so.joŋ.ʌp̚.nɯn],[a.mu.so.joŋ.ʌp̚.nɯn]
줄까 하는데,11,[tʃul.k͈a.ha.nɯn.te],[dʒul.k͈a.ha.nɯn.te]
다가올 때,11,[ta.ka.ol.t͈ɛ],[da.ga.ol.t͈ɛ]
다가올 일에,11,[ta.ka.ol.il.e],[da.ga.ol.il.e]
다가와 줘 このまま,11,[ta.ka.wa.tʃwʌ],[da.ga.wa.dʒwʌ]
다가와 줘 このまま 이대로,11,[ta.ka.wa.tʃwʌ.i.tɛ.ɾo],[da.ga.wa.dʒwʌ.i.dɛ.ɾo]
elevator bell dings,11,,
경찰에게 말했다,11,[kjʌŋ.tʃʰal.e.ke.mal.hɛt̚.ta],[gjʌŋ.tʃʰal.e.ge.mal.hɛt̚.ta]
당신한텐 그게,11,[taŋ.sin.han.tʰeŋ.kɯ.ke],[daŋ.sin.han.tʰen.gɯ.ge]
아무 이름이나,11,[a.mu.i.ɾɯm.i.na],[a.mu.i.ɾɯm.i.na]
a suit,11,,
아무 이상 없습니다,11,[a.mu.i.saŋ.ʌp̚.sɯp̚.ni.ta],[a.mu.i.saŋ.ʌp̚.sɯp̚.ni.da]
그냥 기다리면,11,[kɯ.njaŋ.ki.ta.ɾi.mjʌn],[gɯ.njaŋ.gi.da.ɾi.mjʌn]
아무 일 없습니다,11,[a.mu.il.ʌp̚.sɯp̚.ni.ta],[a.mu.il.ʌp̚.sɯp̚.ni.da]
다녀야 돼,11,[ta.njʌ.ja.twɛ],[da.njʌ.ja.dwɛ]
아무 일도 아닙니다,11,[a.mu.il.to.a.nip̚.ni.ta],[a.mu.il.to.a.nip̚.ni.da]
잡아 그래,11,[tʃap̚.a.kɯ.ɾɛ],[dʒap̚.a.gɯ.ɾɛ]
가자 뛰어,11,[ka.tʃa.t͈wi.ʌ],[ga.dʒa.t͈wi.ʌ]
아무 일도 일어나지 않는다,11,[a.mu.il.to.il.ʌ.na.tʃi.an.nɯn.ta],[a.mu.il.to.il.ʌ.na.dʒi.an.nɯn.ta]
아무 일도 일어나지 않았다,11,[a.mu.il.to.il.ʌ.na.tʃi.an.at̚.ta],[a.mu.il.to.il.ʌ.na.dʒi.an.at̚.ta]
다녀와 네,11,[ta.njʌ.wa.ne],[da.njʌ.wa.ne]
살쯤 됐을 때,11,[sal.tʃ͈ɯn.twɛt̚.ɯl.t͈ɛ],[sal.tʃ͈ɯm.dwɛt̚.ɯl.t͈ɛ]
다녀와도 돼요,11,[ta.njʌ.wa.to.twɛ.jo],[da.njʌ.wa.do.dwɛ.jo]
살펴 보자,11,[sal.pʰjʌ.po.tʃa],[sal.pʰjʌ.bo.dʒa]
할 시간입니다,11,[hal.si.kan.ip̚.ni.ta],[hal.si.gan.ip̚.ni.da]
But you''ve,11,,
망할 것이,11,[maŋ.hal.kʌt̚.i],[maŋ.hal.gʌt̚.i]
아무 준비도,11,[a.mu.tʃum.pi.to],[a.mu.dʒum.pi.do]
거긴 다,11,[kʌ.kin.ta],[gʌ.gin.da]
바람피우는 거야,11,[pa.ɾam.pʰi.u.nɯŋ.kʌ.ja],[ba.ɾam.pʰi.u.nɯn.gʌ.ja]
살펴보고 있는데,11,[sal.pʰjʌ.po.ko.it̚.nɯn.te],[sal.pʰjʌ.bo.go.it̚.nɯn.te]
다니게 될,11,[ta.ni.ke.twel],[da.ni.ge.dwel]
아무거나 말해,11,[a.mu.kʌ.na.mal.hɛ],[a.mu.gʌ.na.mal.hɛ]
치른 거예요,11,[tʃʰi.ɾɯŋ.kʌ.je.jo],[tʃʰi.ɾɯn.gʌ.je.jo]
그냥 나가요,11,[kɯ.njaŋ.na.ka.jo],[gɯ.njaŋ.na.ga.jo]
다니는 그,11,[ta.ni.nɯŋ.kɯ],[da.ni.nɯn.gɯ]
거긴 아무것도 없어요,11,[kʌ.kin.a.mu.kʌt̚.to.ʌp̚.ʌ.jo],[gʌ.gin.a.mu.gʌt̚.to.ʌp̚.ʌ.jo]
바랍니다 lrm,11,[pa.ɾap̚.ni.ta],[ba.ɾap̚.ni.da]
그냥 나왔어,11,[kɯ.njaŋ.na.wat̚.ʌ],[gɯ.njaŋ.na.wat̚.ʌ]
m 떨어진 곳에,11,[t͈ʌl.ʌ.tʃiŋ.kot̚.e],[t͈ʌl.ʌ.dʒin.got̚.e]
뭐든 해낼,11,[mwʌ.tɯn.hɛ.nɛl],[mwʌ.dɯn.hɛ.nɛl]
바랍니다 그럼,11,[pa.ɾap̚.ni.ta.kɯ.ɾʌm],[ba.ɾap̚.ni.da.gɯ.ɾʌm]
