Item,Frequency,Formal_IPA,Casual_IPA
the Moon Door,5,,
생긴 시공간의 왜곡,5,[sɛŋ.kin.si.koŋ.kan.ɯi.wɛ.kok̚],[sɛŋ.gin.si.goŋ.gan.ɯi.wɛ.gok̚]
생긴 시공간의 왜곡 웜홀인가요,5,[sɛŋ.kin.si.koŋ.kan.ɯi.wɛ.kok̚.wʌm.hol.iŋ.ka.jo],[sɛŋ.gin.si.goŋ.gan.ɯi.wɛ.gok̚.wʌm.hol.iŋ.ka.jo]
생긴 시공간의,5,[sɛŋ.kin.si.koŋ.kan.ɯi],[sɛŋ.gin.si.goŋ.gan.ɯi]
생긴 여자를,5,[sɛŋ.kin.jʌ.tʃa.ɾɯl],[sɛŋ.gin.jʌ.dʒa.ɾɯl]
널 돌봐줄 수,5,[nʌl.tol.pwa.tʃul.su],[nʌl.dol.pwa.dʒul.su]
생긴 이후로,5,[sɛŋ.kin.i.hu.ɾo],[sɛŋ.gin.i.hu.ɾo]
그 부분은 그냥,5,[kɯ.pu.pun.ɯŋ.kɯ.njaŋ],[gɯ.bu.bun.ɯn.gɯ.njaŋ]
생긴 일이라,5,[sɛŋ.kin.il.i.ɾa],[sɛŋ.gin.il.i.ɾa]
생긴 일인데,5,[sɛŋ.kin.il.in.te],[sɛŋ.gin.il.in.te]
널 돕고 싶었어,5,[nʌl.top̚.ko.sip̚.ʌt̚.ʌ],[nʌl.dop̚.ko.sip̚.ʌt̚.ʌ]
생긴 일입니다,5,[sɛŋ.kin.il.ip̚.ni.ta],[sɛŋ.gin.il.ip̚.ni.da]
생긴 줄 알고,5,[sɛŋ.kin.tʃul.al.ko],[sɛŋ.gin.dʒul.al.ko]
널 돕고 있다는,5,[nʌl.top̚.ko.it̚.ta.nɯn],[nʌl.dop̚.ko.it̚.ta.nɯn]
생긴 줄 알았잖아,5,[sɛŋ.kin.tʃul.al.at̚.tʃan.a],[sɛŋ.gin.dʒul.al.at̚.tʃan.a]
그 부분은 좀,5,[kɯ.pu.pun.ɯn.tʃom],[gɯ.bu.bun.ɯn.dʒom]
그 부분은 내,5,[kɯ.pu.pun.ɯn.nɛ],[gɯ.bu.bun.ɯn.nɛ]
the Navy,5,,
생긴다고 했어,5,[sɛŋ.kin.ta.ko.hɛt̚.ʌ],[sɛŋ.gin.ta.go.hɛt̚.ʌ]
생긴거 아냐,5,[sɛŋ.kiŋ.kʌ.a.nja],[sɛŋ.giŋ.kʌ.a.nja]
생긴 후에,5,[sɛŋ.kin.hu.e],[sɛŋ.gin.hu.e]
생긴다는 거예요,5,[sɛŋ.kin.ta.nɯŋ.kʌ.je.jo],[sɛŋ.gin.ta.nɯn.gʌ.je.jo]
생긴다면 그건,5,[sɛŋ.kin.ta.mjʌŋ.kɯ.kʌn],[sɛŋ.gin.ta.mjʌn.gɯ.gʌn]
