Item,Frequency,Formal_IPA,Casual_IPA
아닐 거야 내,5,[a.nil.kʌ.ja.nɛ],[a.nil.gʌ.ja.nɛ]
다 이기고,5,[ta.i.ki.ko],[da.i.gi.go]
다 이겼어요,5,[ta.i.kjʌt̚.ʌ.jo],[da.i.gjʌt̚.ʌ.jo]
아닐 거야 네가,5,[a.nil.kʌ.ja.ne.ka],[a.nil.gʌ.ja.ne.ga]
아닐 거야 무슨,5,[a.nil.kʌ.ja.mu.sɯn],[a.nil.gʌ.ja.mu.sɯn]
아닐 거야 내가,5,[a.nil.kʌ.ja.nɛ.ka],[a.nil.gʌ.ja.nɛ.ga]
다 이기적이야,5,[ta.i.ki.tʃʌk̚.i.ja],[da.i.gi.dʒʌk̚.i.ja]
그곳에 도착할 수,5,[kɯ.kot̚.e.to.tʃʰak̚.hal.su],[gɯ.got̚.e.do.tʃʰak̚.hal.su]
거기서 뭐 했는데,5,[kʌ.ki.sʌ.mwʌ.hɛt̚.nɯn.te],[gʌ.gi.sʌ.mwʌ.hɛt̚.nɯn.te]
dressed like,5,,
아닐 거예요 그,5,[a.nil.kʌ.je.jo.kɯ],[a.nil.gʌ.je.jo.gɯ]
아닐 거예요 전,5,[a.nil.kʌ.je.jo.tʃʌn],[a.nil.gʌ.je.jo.dʒʌn]
그곳에 머물렀다,5,[kɯ.kot̚.e.mʌ.mul.ɾʌt̚.ta],[gɯ.got̚.e.mʌ.mul.ɾʌt̚.ta]
그곳에 디에고의,5,[kɯ.kot̚.e.ti.e.ko.ɯi],[gɯ.got̚.e.di.e.go.ɯi]
아닐 것 같고,5,[a.nil.kʌt̚.kat̚.ko],[a.nil.gʌt̚.gat̚.ko]
아닐 것 같네요,5,[a.nil.kʌt̚.kat̚.ne.jo],[a.nil.gʌt̚.gat̚.ne.jo]
그곳에 무사히,5,[kɯ.kot̚.e.mu.sa.hi],[gɯ.got̚.e.mu.sa.hi]
그곳에 머물지,5,[kɯ.kot̚.e.mʌ.mul.tʃi],[gɯ.got̚.e.mʌ.mul.tʃi]
거기서 뭐라고,5,[kʌ.ki.sʌ.mwʌ.ɾa.ko],[gʌ.gi.sʌ.mwʌ.ɾa.go]
다 이룰 수,5,[ta.i.ɾul.su],[da.i.ɾul.su]
그곳에 무엇이,5,[kɯ.kot̚.e.mu.ʌt̚.i],[gɯ.got̚.e.mu.ʌt̚.i]
아닐 때도 있죠,5,[a.nil.t͈ɛ.to.it̚.tʃjo],[a.nil.t͈ɛ.do.it̚.tʃjo]
다 이뤄질,5,[ta.i.ɾwʌ.tʃil],[da.i.ɾwʌ.dʒil]
아닐 때도 있지만,5,[a.nil.t͈ɛ.to.it̚.tʃi.man],[a.nil.t͈ɛ.do.it̚.tʃi.man]
그곳에 산다,5,[kɯ.kot̚.e.san.ta],[gɯ.got̚.e.san.ta]
거기서 뭐하고 있어,5,[kʌ.ki.sʌ.mwʌ.ha.ko.it̚.ʌ],[gʌ.gi.sʌ.mwʌ.ha.go.it̚.ʌ]
to tear you,5,,
아닐 수 없네요,5,[a.nil.su.ʌp̚.ne.jo],[a.nil.su.ʌp̚.ne.jo]
아닐 수 있다는,5,[a.nil.su.it̚.ta.nɯn],[a.nil.su.it̚.ta.nɯn]
아닐 수 있다고,5,[a.nil.su.it̚.ta.ko],[a.nil.su.it̚.ta.go]
다 이번,5,[ta.i.pʌn],[da.i.bʌn]
다 이름이,5,[ta.i.ɾɯm.i],[da.i.ɾɯm.i]
다 이상한,5,[ta.i.saŋ.han],[da.i.saŋ.han]
아닐 수도 있겠다,5,[a.nil.su.to.it̚.ket̚.ta],[a.nil.su.do.it̚.ket̚.ta]
아닐 수도 있겠네,5,[a.nil.su.to.it̚.ket̚.ne],[a.nil.su.do.it̚.ket̚.ne]
그곳에 서,5,[kɯ.kot̚.e.sʌ],[gɯ.got̚.e.sʌ]
그곳에 살지,5,[kɯ.kot̚.e.sal.tʃi],[gɯ.got̚.e.sal.tʃi]
