Item,Frequency,Formal_IPA,Casual_IPA
우식이 살짝,8,[u.sik̚.i.sal.tʃ͈ak̚],[u.sik̚.i.sal.tʃ͈ak̚]
못 간다고 해,8,[mot̚.kan.ta.ko.hɛ],[mot̚.gan.ta.go.hɛ]
Lay your head down,8,,
나왔으니까 말인데,8,[na.wat̚.ɯ.ni.k͈a.mal.in.te],[na.wat̚.ɯ.ni.k͈a.mal.in.te]
좋아 닥터,8,[tʃot̚.a.tak̚.tʰʌ],[dʒot̚.a.dak̚.tʰʌ]
게 취미예요,8,[ke.tʃʰwi.mi.je.jo],[ge.tʃʰwi.mi.je.jo]
좋아 당신을,8,[tʃot̚.a.taŋ.sin.ɯl],[dʒot̚.a.daŋ.sin.ɯl]
나왔으면 좋겠어요,8,[na.wat̚.ɯ.mjʌn.tʃot̚.ket̚.ʌ.jo],[na.wat̚.ɯ.mjʌn.dʒot̚.ket̚.ʌ.jo]
못 갈 겁니다,8,[mot̚.kal.kʌp̚.ni.ta],[mot̚.gal.gʌp̚.ni.da]
좋아 둘 다,8,[tʃot̚.a.tul.ta],[dʒot̚.a.dul.da]
좋아 들어봐,8,[tʃot̚.a.tɯl.ʌ.pwa],[dʒot̚.a.dɯl.ʌ.bwa]
좋아 들어가,8,[tʃot̚.a.tɯl.ʌ.ka],[dʒot̚.a.dɯl.ʌ.ga]
좋아 따라와,8,[tʃot̚.a.t͈a.ɾa.wa],[dʒot̚.a.t͈a.ɾa.wa]
I could just,8,,
좋아 마음대로,8,[tʃot̚.a.ma.ɯn.tɛ.ɾo],[dʒot̚.a.ma.ɯn.tɛ.ɾo]
못 갔는데,8,[mot̚.kat̚.nɯn.te],[mot̚.gat̚.nɯn.te]
나요 c,8,[na.jo],[na.jo]
좋아 무슨 일이야,8,[tʃot̚.a.mu.sɯn.il.i.ja],[dʒot̚.a.mu.sɯn.il.i.ja]
나요 lrm,8,[na.jo],[na.jo]
좋아 뭐 하는,8,[tʃot̚.a.mwʌ.ha.nɯn],[dʒot̚.a.mwʌ.ha.nɯn]
게 탄로,8,[ke.tʰal.lo],[ge.tʰal.lo]
좋아 미안해요,8,[tʃot̚.a.mi.an.hɛ.jo],[dʒot̚.a.mi.an.hɛ.jo]
못 갔지만,8,[mot̚.kat̚.tʃi.man],[mot̚.gat̚.tʃi.man]
못 갖는,8,[mot̚.kat̚.nɯn],[mot̚.gat̚.nɯn]
못 건너,8,[mot̚.kʌn.nʌ],[mot̚.gʌn.nʌ]
나요 그래요,8,[na.jo.kɯ.ɾɛ.jo],[na.jo.gɯ.ɾɛ.jo]
좋아 보이더라,8,[tʃot̚.a.po.i.tʌ.ɾa],[dʒot̚.a.bo.i.dʌ.ɾa]
못 건들게,8,[mot̚.kʌn.tɯl.ke],[mot̚.gʌn.tɯl.ke]
좋아 보이지 않는다,8,[tʃot̚.a.po.i.tʃi.an.nɯn.ta],[dʒot̚.a.bo.i.dʒi.an.nɯn.ta]
나요 나도,8,[na.jo.na.to],[na.jo.na.do]
프리다 개츠가,8,[pʰɯ.ɾi.ta.kɛ.tʃʰɯ.ka],[pʰɯ.ɾi.da.gɛ.tʃʰɯ.ga]
게 틀림없다,8,[ke.tʰɯl.ɾim.ʌp̚.ta],[ge.tʰɯl.ɾim.ʌp̚.ta]
좋아 새,8,[tʃot̚.a.sɛ],[dʒot̚.a.sɛ]
프리아크 보험,8,[pʰɯ.ɾi.a.kʰɯ.po.hʌm],[pʰɯ.ɾi.a.kʰɯ.bo.hʌm]
좋아 서로,8,[tʃot̚.a.sʌ.ɾo],[dʒot̚.a.sʌ.ɾo]
그리고 나서 이,8,[kɯ.ɾi.ko.na.sʌ.i],[gɯ.ɾi.go.na.sʌ.i]
봉투가 있을,8,[poŋ.tʰu.ka.it̚.ɯl],[boŋ.tʰu.ga.it̚.ɯl]
프린세스 캐럴린이,8,[pʰɯ.ɾin.se.sɯ.kʰɛ.ɾʌl.ɾin.i],[pʰɯ.ɾin.se.sɯ.kʰɛ.ɾʌl.ɾin.i]
나요 무슨,8,[na.jo.mu.sɯn],[na.jo.mu.sɯn]
감사합니다 아가씨,8,[kam.sa.hap̚.ni.ta.a.ka.s͈i],[gam.sa.hap̚.ni.da.a.ga.s͈i]
했군요 네,8,[hɛt̚.kun.jo.ne],[hɛt̚.kun.jo.ne]
좋아 아침에,8,[tʃot̚.a.a.tʃʰim.e],[dʒot̚.a.a.tʃʰim.e]
좋아 안녕 안녕,8,[tʃot̚.a.an.njʌŋ.an.njʌŋ],[dʒot̚.a.an.njʌŋ.an.njʌŋ]
나요 우리,8,[na.jo.u.ɾi],[na.jo.u.ɾi]
좋아 어차피,8,[tʃot̚.a.ʌ.tʃʰa.pʰi],[dʒot̚.a.ʌ.tʃʰa.pʰi]
좋아 엄마는,8,[tʃot̚.a.ʌm.ma.nɯn],[dʒot̚.a.ʌm.ma.nɯn]
나요 좀,8,[na.jo.tʃom],[na.jo.dʒom]
배 아프다고,8,[pɛ.a.pʰɯ.ta.ko],[bɛ.a.pʰɯ.da.go]
못 그려서,8,[mot̚.kɯ.ɾjʌ.sʌ],[mot̚.gɯ.ɾjʌ.sʌ]
좋아 예,8,[tʃot̚.a.je],[dʒot̚.a.je]
우연의 일치입니다,8,[u.jʌn.ɯi.il.tʃʰi.ip̚.ni.ta],[u.jʌn.ɯi.il.tʃʰi.ip̚.ni.da]
좋아 오래,8,[tʃot̚.a.o.ɾɛ],[dʒot̚.a.o.ɾɛ]
좋아 요즘,8,[tʃot̚.a.jo.tʃɯm],[dʒot̚.a.jo.dʒɯm]
좋아 우리의,8,[tʃot̚.a.u.ɾi.ɯi],[dʒot̚.a.u.ɾi.ɯi]
좋아 이건 어때,8,[tʃot̚.a.i.kʌn.ʌ.t͈ɛ],[dʒot̚.a.i.gʌn.ʌ.t͈ɛ]
못 꿨던,8,[mot̚.k͈wʌt̚.tʌn],[mot̚.k͈wʌt̚.tʌn]
mind is,8,,
내 돈을 원해,8,[nɛ.ton.ɯl.wʌn.hɛ],[nɛ.don.ɯl.wʌn.hɛ]
가죽을 벗긴 다음,8,[ka.tʃuk̚.ɯl.pʌt̚.kin.ta.ɯm],[ga.dʒuk̚.ɯl.bʌt̚.kin.da.ɯm]
좋아 있지,8,[tʃot̚.a.it̚.tʃi],[dʒot̚.a.it̚.tʃi]
게 필요했어요,8,[ke.pʰil.jo.hɛt̚.ʌ.jo],[ge.pʰil.jo.hɛt̚.ʌ.jo]
좋아 자넨,8,[tʃot̚.a.tʃa.nen],[dʒot̚.a.dʒa.nen]
못 나가는 거,8,[mot̚.na.ka.nɯŋ.kʌ],[mot̚.na.ga.nɯn.gʌ]
좋아 잠시,8,[tʃot̚.a.tʃam.si],[dʒot̚.a.dʒam.si]
했는데 가끔,8,[hɛt̚.nɯn.te.ka.k͈ɯm],[hɛt̚.nɯn.te.ga.k͈ɯm]
못 나가잖아요,8,[mot̚.na.ka.tʃan.a.jo],[mot̚.na.ga.dʒan.a.jo]
