Item,Frequency,Formal_IPA,Casual_IPA
못 보여줘요,9,[mot̚.po.jʌ.tʃwʌ.jo],[mot̚.bo.jʌ.dʒwʌ.jo]
왜 떠나셨어요,9,[wɛ.t͈ʌ.na.sjʌt̚.ʌ.jo],[wɛ.t͈ʌ.na.sjʌt̚.ʌ.jo]
왜 떠났어요,9,[wɛ.t͈ʌ.nat̚.ʌ.jo],[wɛ.t͈ʌ.nat̚.ʌ.jo]
왜 떠났죠,9,[wɛ.t͈ʌ.nat̚.tʃjo],[wɛ.t͈ʌ.nat̚.tʃjo]
좋은 계획이 있어,9,[tʃot̚.ɯŋ.kje.hwek̚.i.it̚.ʌ],[dʒot̚.ɯn.gje.hwek̚.i.it̚.ʌ]
왜 마약,9,[wɛ.ma.jak̚],[wɛ.ma.jak̚]
왜 마음을 바꾼,9,[wɛ.ma.ɯm.ɯl.pa.k͈un],[wɛ.ma.ɯm.ɯl.ba.k͈un]
왜 마음이 바뀐,9,[wɛ.ma.ɯm.i.pa.k͈win],[wɛ.ma.ɯm.i.ba.k͈win]
제안은 아직 유효해요,9,[tʃe.an.ɯn.a.tʃik̚.ju.hjo.hɛ.jo],[dʒe.an.ɯn.a.dʒik̚.ju.hjo.hɛ.jo]
왜 만나자고,9,[wɛ.man.na.tʃa.ko],[wɛ.man.na.dʒa.go]
되면 새,9,[twe.mjʌn.sɛ],[dwe.mjʌn.sɛ]
되면 서로,9,[twe.mjʌn.sʌ.ɾo],[dwe.mjʌn.sʌ.ɾo]
왜 말도 없이,9,[wɛ.mal.to.ʌp̚.i],[wɛ.mal.to.ʌp̚.i]
제안은 생각해,9,[tʃe.an.ɯn.sɛŋ.kak̚.hɛ],[dʒe.an.ɯn.sɛŋ.gak̚.hɛ]
왜 말한,9,[wɛ.mal.han],[wɛ.mal.han]
왜 말하지 않았지,9,[wɛ.mal.ha.tʃi.an.at̚.tʃi],[wɛ.mal.ha.dʒi.an.at̚.tʃi]
왜 멀리,9,[wɛ.mʌl.ɾi],[wɛ.mʌl.ɾi]
되면 언제든지,9,[twe.mjʌn.ʌn.tʃe.tɯn.tʃi],[dwe.mjʌn.ʌn.tʃe.dɯn.tʃi]
되면 연락드리죠,9,[twe.mjʌn.jʌl.lak̚.tɯ.ɾi.tʃjo],[dwe.mjʌn.jʌl.lak̚.tɯ.ɾi.dʒjo]
되면 연락해,9,[twe.mjʌn.jʌl.lak̚.hɛ],[dwe.mjʌn.jʌl.lak̚.hɛ]
왜 묻는 거야,9,[wɛ.mut̚.nɯŋ.kʌ.ja],[wɛ.mut̚.nɯn.gʌ.ja]
왜 물이,9,[wɛ.mul.i],[wɛ.mul.i]
되면 제일,9,[twe.mjʌn.tʃe.il],[dwe.mjʌn.dʒe.il]
왜 밥을,9,[wɛ.pap̚.ɯl],[wɛ.bap̚.ɯl]
여기 병원이에요,9,[jʌ.ki.pjʌŋ.wʌn.i.e.jo],[jʌ.gi.bjʌŋ.wʌn.i.e.jo]
왜 버스를,9,[wɛ.pʌ.sɯ.ɾɯl],[wɛ.bʌ.sɯ.ɾɯl]
왜 범인이,9,[wɛ.pʌm.in.i],[wɛ.bʌm.in.i]
왜 병원,9,[wɛ.pjʌŋ.wʌn],[wɛ.bjʌŋ.wʌn]
왜 보자고 하셨죠,9,[wɛ.po.tʃa.ko.ha.sjʌt̚.tʃjo],[wɛ.bo.dʒa.go.ha.sjʌt̚.tʃjo]
왜 보호해,9,[wɛ.po.ho.hɛ],[wɛ.bo.ho.hɛ]
그렇게 쉬울,9,[kɯ.ɾʌt̚.ke.swi.ul],[gɯ.ɾʌt̚.ke.swi.ul]
왜 부르셨죠,9,[wɛ.pu.ɾɯ.sjʌt̚.tʃjo],[wɛ.bu.ɾɯ.sjʌt̚.tʃjo]
되서 기쁘네요,9,[twe.sʌ.ki.p͈ɯ.ne.jo],[dwe.sʌ.gi.p͈ɯ.ne.jo]
건 다들 아는,9,[kʌn.ta.tɯl.a.nɯn],[gʌn.da.dɯl.a.nɯn]
왜 빈,9,[wɛ.pin],[wɛ.bin]
그렇게 쉽게 안,9,[kɯ.ɾʌt̚.ke.swip̚.ke.an],[gɯ.ɾʌt̚.ke.swip̚.ke.an]
건 다들 알고,9,[kʌn.ta.tɯl.al.ko],[gʌn.da.dɯl.al.ko]
왜 사건을,9,[wɛ.sa.kʌn.ɯl],[wɛ.sa.gʌn.ɯl]
왜 사과를 해,9,[wɛ.sa.kwa.ɾɯl.hɛ],[wɛ.sa.gwa.ɾɯl.hɛ]
그렇게 쉽게는,9,[kɯ.ɾʌt̚.ke.swip̚.ke.nɯn],[gɯ.ɾʌt̚.ke.swip̚.ke.nɯn]
되세요 네,9,[twe.se.jo.ne],[dwe.se.jo.ne]
왜 사는,9,[wɛ.sa.nɯn],[wɛ.sa.nɯn]
모르고 있었던,9,[mo.ɾɯ.ko.it̚.ʌt̚.tʌn],[mo.ɾɯ.go.it̚.ʌt̚.tʌn]
그렇게 쉽지가,9,[kɯ.ɾʌt̚.ke.swip̚.tʃi.ka],[gɯ.ɾʌt̚.ke.swip̚.tʃi.ga]
왜 사용하지,9,[wɛ.sa.joŋ.ha.tʃi],[wɛ.sa.joŋ.ha.dʒi]
좋은 말씀이네요,9,[tʃot̚.ɯn.mal.s͈ɯm.i.ne.jo],[dʒot̚.ɯn.mal.s͈ɯm.i.ne.jo]
왜 살인,9,[wɛ.sal.in],[wɛ.sal.in]
나이가 많다는,9,[na.i.ka.man.ta.nɯn],[na.i.ga.man.ta.nɯn]
그렇게 스스로,9,[kɯ.ɾʌt̚.ke.sɯ.sɯ.ɾo],[gɯ.ɾʌt̚.ke.sɯ.sɯ.ɾo]
되어 가는지,9,[twe.ʌ.ka.nɯn.tʃi],[dwe.ʌ.ga.nɯn.tʃi]
건 다행이지만,9,[kʌn.ta.hɛŋ.i.tʃi.man],[gʌn.da.hɛŋ.i.dʒi.man]
왜 숨겨,9,[wɛ.sum.kjʌ],[wɛ.sum.kjʌ]
왜 숲에,9,[wɛ.sup̚.e],[wɛ.sup̚.e]
왜 슬픈,9,[wɛ.sɯl.pʰɯn],[wɛ.sɯl.pʰɯn]
좋은 밤이,9,[tʃot̚.ɯm.pam.i],[dʒot̚.ɯn.bam.i]
그렇게 신경 쓰는,9,[kɯ.ɾʌt̚.ke.siŋ.kjʌŋ.s͈ɯ.nɯn],[gɯ.ɾʌt̚.ke.siŋ.kjʌŋ.s͈ɯ.nɯn]
그렇게 신경 안,9,[kɯ.ɾʌt̚.ke.siŋ.kjʌŋ.an],[gɯ.ɾʌt̚.ke.siŋ.kjʌŋ.an]
되어 무척,9,[twe.ʌ.mu.tʃʰʌk̚],[dwe.ʌ.mu.tʃʰʌk̚]
왜 싫어하지,9,[wɛ.sil.ʌ.ha.tʃi],[wɛ.sil.ʌ.ha.dʒi]
왜 싸우지,9,[wɛ.s͈a.u.tʃi],[wɛ.s͈a.u.dʒi]
그렇게 싫어하는,9,[kɯ.ɾʌt̚.ke.sil.ʌ.ha.nɯn],[gɯ.ɾʌt̚.ke.sil.ʌ.ha.nɯn]
왜 쏴,9,[wɛ.s͈wa],[wɛ.s͈wa]
왜 아까,9,[wɛ.a.k͈a],[wɛ.a.k͈a]
왜 아내가,9,[wɛ.a.nɛ.ka],[wɛ.a.nɛ.ga]
Why do you want,9,,
왜 아들을,9,[wɛ.a.tɯl.ɯl],[wɛ.a.dɯl.ɯl]
건 당신 때문이에요,9,[kʌn.taŋ.sin.t͈ɛ.mun.i.e.jo],[gʌn.daŋ.sin.t͈ɛ.mun.i.e.jo]
되어 있다면,9,[twe.ʌ.it̚.ta.mjʌn],[dwe.ʌ.it̚.ta.mjʌn]
왜 아무도 못,9,[wɛ.a.mu.to.mot̚],[wɛ.a.mu.do.mot̚]
되어 있소,9,[twe.ʌ.it̚.so],[dwe.ʌ.it̚.so]
건 당신네,9,[kʌn.taŋ.sin.ne],[gʌn.daŋ.sin.ne]
왜 아직 못,9,[wɛ.a.tʃik̚.mot̚],[wɛ.a.dʒik̚.mot̚]
건 당신들,9,[kʌn.taŋ.sin.tɯl],[gʌn.daŋ.sin.tɯl]
되어 있잖아요,9,[twe.ʌ.it̚.tʃan.a.jo],[dwe.ʌ.it̚.tʃan.a.jo]
그렇게 쓸,9,[kɯ.ɾʌt̚.ke.s͈ɯl],[gɯ.ɾʌt̚.ke.s͈ɯl]
그렇게 아는,9,[kɯ.ɾʌt̚.ke.a.nɯn],[gɯ.ɾʌt̚.ke.a.nɯn]
그렇게 아무것도,9,[kɯ.ɾʌt̚.ke.a.mu.kʌt̚.to],[gɯ.ɾʌt̚.ke.a.mu.gʌt̚.to]
배심원 두,9,[pɛ.sim.wʌn.tu],[bɛ.sim.wʌn.du]
왜 안 되겠어요,9,[wɛ.an.twe.ket̚.ʌ.jo],[wɛ.an.dwe.get̚.ʌ.jo]
왜 안 써,9,[wɛ.an.s͈ʌ],[wɛ.an.s͈ʌ]
왜 안 열려,9,[wɛ.an.jʌl.ɾjʌ],[wɛ.an.jʌl.ɾjʌ]
되어가고 있다,9,[twe.ʌ.ka.ko.it̚.ta],[dwe.ʌ.ga.go.it̚.ta]
왜 안 오죠,9,[wɛ.an.o.tʃjo],[wɛ.an.o.dʒjo]
왜 안 하는,9,[wɛ.an.ha.nɯn],[wɛ.an.ha.nɯn]
왜 안 하셨어요,9,[wɛ.an.ha.sjʌt̚.ʌ.jo],[wɛ.an.ha.sjʌt̚.ʌ.jo]
왜 안 했지,9,[wɛ.an.hɛt̚.tʃi],[wɛ.an.hɛt̚.tʃi]
되어서는 안 된다,9,[twe.ʌ.sʌ.nɯn.an.twen.ta],[dwe.ʌ.sʌ.nɯn.an.dwen.ta]
되어야 하고,9,[twe.ʌ.ja.ha.ko],[dwe.ʌ.ja.ha.go]
좋은 분 같아요,9,[tʃot̚.ɯm.puŋ.kat̚.a.jo],[dʒot̚.ɯn.bun.gat̚.a.jo]
