Item,Frequency,Formal_IPA,Casual_IPA
부를 노래도,7,[pu.ɾɯl.lo.ɾɛ.to],[bu.ɾɯl.lo.ɾɛ.do]
호수에 갈 거야,7,[ho.su.e.kal.kʌ.ja],[ho.su.e.gal.gʌ.ja]
강한 애야,7,[kaŋ.han.ɛ.ja],[gaŋ.han.ɛ.ja]
부를 수 있다면,7,[pu.ɾɯl.su.it̚.ta.mjʌn],[bu.ɾɯl.su.it̚.ta.mjʌn]
부를 수 있습니다,7,[pu.ɾɯl.su.it̚.sɯp̚.ni.ta],[bu.ɾɯl.su.it̚.sɯp̚.ni.da]
내가 실수를 했어요,7,[nɛ.ka.sil.su.ɾɯl.hɛt̚.ʌ.jo],[nɛ.ga.sil.su.ɾɯl.hɛt̚.ʌ.jo]
호의를 베풀다,7,[ho.ɯi.ɾɯl.pe.pʰul.ta],[ho.ɯi.ɾɯl.be.pʰul.ta]
이쪽으로 이쪽으로,7,[i.tʃ͈ok̚.ɯ.ɾo.i.tʃ͈ok̚.ɯ.ɾo],[i.tʃ͈ok̚.ɯ.ɾo.i.tʃ͈ok̚.ɯ.ɾo]
호의에 대한,7,[ho.ɯi.e.tɛ.han],[ho.ɯi.e.dɛ.han]
내가 실수한 것,7,[nɛ.ka.sil.su.haŋ.kʌt̚],[nɛ.ga.sil.su.han.gʌt̚]
호출 받았어,7,[ho.tʃʰul.pat̚.at̚.ʌ],[ho.tʃʰul.bat̚.at̚.ʌ]
내가 실수했군,7,[nɛ.ka.sil.su.hɛt̚.kun],[nɛ.ga.sil.su.hɛt̚.kun]
호출이 와서,7,[ho.tʃʰul.i.wa.sʌ],[ho.tʃʰul.i.wa.sʌ]
부를 텐데,7,[pu.ɾɯl.tʰen.te],[bu.ɾɯl.tʰen.te]
강한 여성이,7,[kaŋ.han.jʌ.sʌŋ.i],[gaŋ.han.jʌ.sʌŋ.i]
호탕하게 웃으며,7,[ho.tʰaŋ.ha.ke.ut̚.ɯ.mjʌ],[ho.tʰaŋ.ha.ge.ut̚.ɯ.mjʌ]
이쪽은 내 동료,7,[i.tʃ͈ok̚.ɯn.nɛ.toŋ.ɾjo],[i.tʃ͈ok̚.ɯn.nɛ.doŋ.ɾjo]
부름을 받고,7,[pu.ɾɯm.ɯl.pat̚.ko],[bu.ɾɯm.ɯl.bat̚.ko]
호텔 밖,7,[ho.tʰel.pak̚],[ho.tʰel.bak̚]
호텔 방에 있는,7,[ho.tʰel.paŋ.e.it̚.nɯn],[ho.tʰel.baŋ.e.it̚.nɯn]
호텔 방은,7,[ho.tʰel.paŋ.ɯn],[ho.tʰel.baŋ.ɯn]
이쪽은 루이스,7,[i.tʃ͈ok̚.ɯl.lu.i.sɯ],[i.tʃ͈ok̚.ɯl.lu.i.sɯ]
부리는 거 아니야,7,[pu.ɾi.nɯŋ.kʌ.a.ni.ja],[bu.ɾi.nɯn.gʌ.a.ni.ja]
호텔 전체를,7,[ho.tʰel.tʃʌn.tʃʰe.ɾɯl],[ho.tʰel.dʒʌn.tʃʰe.ɾɯl]
호텔로 가요,7,[ho.tʰel.ɾo.ka.jo],[ho.tʰel.ɾo.ga.jo]
호텔로 가야,7,[ho.tʰel.ɾo.ka.ja],[ho.tʰel.ɾo.ga.ja]
