Item,Frequency,Formal_IPA,Casual_IPA
거야 멕시코에,5,[kʌ.ja.mek̚.si.kʰo.e],[gʌ.ja.mek̚.si.kʰo.e]
알츠하이머 병과,5,[al.tʃʰɯ.ha.i.mʌ.pjʌŋ.kwa],[al.tʃʰɯ.ha.i.mʌ.bjʌŋ.gwa]
알츠하이머 병의,5,[al.tʃʰɯ.ha.i.mʌ.pjʌŋ.ɯi],[al.tʃʰɯ.ha.i.mʌ.bjʌŋ.ɯi]
알칼리성이에요 공기,5,[al.kʰal.ɾi.sʌŋ.i.e.jo.koŋ.ki],[al.kʰal.ɾi.sʌŋ.i.e.jo.goŋ.gi]
알츠하이머 병에,5,[al.tʃʰɯ.ha.i.mʌ.pjʌŋ.e],[al.tʃʰɯ.ha.i.mʌ.bjʌŋ.e]
그들이 존재한다는 것을,5,[kɯ.tɯl.i.tʃon.tʃɛ.han.ta.nɯŋ.kʌt̚.ɯl],[gɯ.dɯl.i.dʒon.tʃɛ.han.ta.nɯn.gʌt̚.ɯl]
알칼리성이에요 공기 중엔 암모니아가,5,[al.kʰal.ɾi.sʌŋ.i.e.jo.koŋ.ki.tʃuŋ.en.am.mo.ni.a.ka],[al.kʰal.ɾi.sʌŋ.i.e.jo.goŋ.gi.dʒuŋ.en.am.mo.ni.a.ga]
알칼리성이에요 공기 중엔,5,[al.kʰal.ɾi.sʌŋ.i.e.jo.koŋ.ki.tʃuŋ.en],[al.kʰal.ɾi.sʌŋ.i.e.jo.goŋ.gi.dʒuŋ.en]
알케미 박사,5,[al.kʰe.mi.pak̚.sa],[al.kʰe.mi.bak̚.sa]
당신의 경력은,5,[taŋ.sin.ɯi.kjʌŋ.ɾjʌk̚.ɯn],[daŋ.sin.ɯi.gjʌŋ.ɾjʌk̚.ɯn]
그들이 죄를,5,[kɯ.tɯl.i.tʃwe.ɾɯl],[gɯ.dɯl.i.dʒwe.ɾɯl]
거야 며칠 전에,5,[kʌ.ja.mjʌ.tʃʰil.tʃʌn.e],[gʌ.ja.mjʌ.tʃʰil.dʒʌn.e]
where IS the TARDIS,5,,
알코올 중독 치료를,5,[al.kʰo.ol.tʃuŋ.tok̚.tʃʰi.ɾjo.ɾɯl],[al.kʰo.ol.dʒuŋ.dok̚.tʃʰi.ɾjo.ɾɯl]
당신의 곁에서,5,[taŋ.sin.ɯi.kjʌt̚.e.sʌ],[daŋ.sin.ɯi.gjʌt̚.e.sʌ]
당신의 경우엔,5,[taŋ.sin.ɯi.kjʌŋ.u.en],[daŋ.sin.ɯi.gjʌŋ.u.en]
당신의 계획은 무엇인가요,5,[taŋ.sin.ɯi.kje.hwek̚.ɯn.mu.ʌt̚.iŋ.ka.jo],[daŋ.sin.ɯi.gje.hwek̚.ɯn.mu.ʌt̚.iŋ.ka.jo]
그들이 죽었기에,5,[kɯ.tɯl.i.tʃuk̚.ʌt̚.ki.e],[gɯ.dɯl.i.dʒuk̚.ʌt̚.ki.e]
그들이 죽는걸,5,[kɯ.tɯl.i.tʃuk̚.nɯŋ.kʌl],[gɯ.dɯl.i.dʒuk̚.nɯŋ.kʌl]
알코올 중독자로,5,[al.kʰo.ol.tʃuŋ.tok̚.tʃa.ɾo],[al.kʰo.ol.dʒuŋ.dok̚.tʃa.ɾo]
알코올 중독자라고,5,[al.kʰo.ol.tʃuŋ.tok̚.tʃa.ɾa.ko],[al.kʰo.ol.dʒuŋ.dok̚.tʃa.ɾa.go]
당신의 고객들,5,[taŋ.sin.ɯi.ko.kɛk̚.tɯl],[daŋ.sin.ɯi.go.gɛk̚.tɯl]
알투형아 지난,5,[al.tʰu.hjʌŋ.a.tʃi.nan],[al.tʰu.hjʌŋ.a.dʒi.nan]
알콩달콩 잘,5,[al.kʰoŋ.tal.kʰoŋ.tʃal],[al.kʰoŋ.dal.kʰoŋ.dʒal]
알콜 음료,5,[al.kʰol.ɯm.ɾjo],[al.kʰol.ɯm.ɾjo]
그들이 죽였어,5,[kɯ.tɯl.i.tʃuk̚.jʌt̚.ʌ],[gɯ.dɯl.i.dʒuk̚.jʌt̚.ʌ]
where all,5,,
where IS the,5,,
from underneath,5,,
Fa la la,5,,
Fa la,5,,
CG 캐릭터 쓰잘때기 없는,5,[kʰɛ.ɾik̚.tʰʌ.s͈ɯ.tʃal.t͈ɛ.ki.ʌp̚.nɯn],[kʰɛ.ɾik̚.tʰʌ.s͈ɯ.dʒal.t͈ɛ.gi.ʌp̚.nɯn]
알파 세계선에서,5,[al.pʰa.se.kje.sʌn.e.sʌ],[al.pʰa.se.gje.sʌn.e.sʌ]
알파 브라보,5,[al.pʰa.pɯ.ɾa.po],[al.pʰa.bɯ.ɾa.bo]
알파가 필요해,5,[al.pʰa.ka.pʰil.jo.hɛ],[al.pʰa.ga.pʰil.jo.hɛ]
알폰소 다라고나,5,[al.pʰon.so.ta.ɾa.ko.na],[al.pʰon.so.da.ɾa.go.na]
알파 팀의,5,[al.pʰa.tʰim.ɯi],[al.pʰa.tʰim.ɯi]
당신의 공로를 위하여,5,[taŋ.sin.ɯi.koŋ.ɾo.ɾɯl.wi.ha.jʌ],[daŋ.sin.ɯi.goŋ.ɾo.ɾɯl.wi.ha.jʌ]
알피 알렌,5,[al.pʰi.al.ɾen],[al.pʰi.al.ɾen]
알프레드에 대해,5,[al.pʰɯ.ɾe.tɯ.e.tɛ.hɛ],[al.pʰɯ.ɾe.dɯ.e.dɛ.hɛ]
당신의 관계에 대해,5,[taŋ.sin.ɯi.kwaŋ.kje.e.tɛ.hɛ],[daŋ.sin.ɯi.gwaŋ.kje.e.dɛ.hɛ]
당신의 관점에서,5,[taŋ.sin.ɯi.kwan.tʃʌm.e.sʌ],[daŋ.sin.ɯi.gwan.tʃʌm.e.sʌ]
당신의 교육,5,[taŋ.sin.ɯi.kjo.juk̚],[daŋ.sin.ɯi.gjo.juk̚]
그들이 증거를,5,[kɯ.tɯl.i.tʃɯŋ.kʌ.ɾɯl],[gɯ.dɯl.i.dʒɯŋ.gʌ.ɾɯl]
그들이 죽일거야,5,[kɯ.tɯl.i.tʃuk̚.il.kʌ.ja],[gɯ.dɯl.i.dʒuk̚.il.kʌ.ja]
그들이 죽으면,5,[kɯ.tɯl.i.tʃuk̚.ɯ.mjʌn],[gɯ.dɯl.i.dʒuk̚.ɯ.mjʌn]
앓은 적이,5,[al.ɯn.tʃʌk̚.i],[al.ɯn.dʒʌk̚.i]
암 걸리려고,5,[am.kʌl.ɾi.ɾjʌ.ko],[am.gʌl.ɾi.ɾjʌ.go]
암 걸리려고 가는,5,[am.kʌl.ɾi.ɾjʌ.ko.ka.nɯn],[am.gʌl.ɾi.ɾjʌ.go.ga.nɯn]
당신의 그 잘난,5,[taŋ.sin.ɯi.kɯ.tʃal.lan],[daŋ.sin.ɯi.gɯ.dʒal.lan]
당신의 그 아름다운,5,[taŋ.sin.ɯi.kɯ.a.ɾɯn.ta.un],[daŋ.sin.ɯi.gɯ.a.ɾɯn.ta.un]
당신의 규칙을,5,[taŋ.sin.ɯi.kju.tʃʰik̚.ɯl],[daŋ.sin.ɯi.gju.tʃʰik̚.ɯl]
암 걸리려고 가는 데,5,[am.kʌl.ɾi.ɾjʌ.ko.ka.nɯn.te],[am.gʌl.ɾi.ɾjʌ.go.ga.nɯn.de]
암 덩어리 래리와 배리,5,[an.tʌŋ.ʌ.ɾi.ɾɛ.ɾi.wa.pɛ.ɾi],[am.dʌŋ.ʌ.ɾi.ɾɛ.ɾi.wa.bɛ.ɾi]
암 덩어리 래리와,5,[an.tʌŋ.ʌ.ɾi.ɾɛ.ɾi.wa],[am.dʌŋ.ʌ.ɾi.ɾɛ.ɾi.wa]
그들이 지은,5,[kɯ.tɯl.i.tʃi.ɯn],[gɯ.dɯl.i.dʒi.ɯn]
그들이 지금 여기,5,[kɯ.tɯl.i.tʃi.kɯm.jʌ.ki],[gɯ.dɯl.i.dʒi.gɯm.jʌ.gi]
암 말기 진단을 받으셨더군요,5,[am.mal.ki.tʃin.tan.ɯl.pat̚.ɯ.sjʌt̚.tʌ.kun.jo],[am.mal.ki.dʒin.tan.ɯl.bat̚.ɯ.sjʌt̚.tʌ.gun.jo]
암 말기 환자들은 반응이,5,[am.mal.ki.hwan.tʃa.tɯl.ɯm.pan.ɯŋ.i],[am.mal.ki.hwan.tʃa.dɯl.ɯn.ban.ɯŋ.i]
암 연구를,5,[am.jʌŋ.ku.ɾɯl],[am.jʌŋ.ku.ɾɯl]
암 병동,5,[am.pjʌŋ.toŋ],[am.bjʌŋ.doŋ]
암 말기 환자들은,5,[am.mal.ki.hwan.tʃa.tɯl.ɯn],[am.mal.ki.hwan.tʃa.dɯl.ɯn]
암 말기 진단을,5,[am.mal.ki.tʃin.tan.ɯl],[am.mal.ki.dʒin.tan.ɯl]
암 치료하고,5,[an.tʃʰi.ɾjo.ha.ko],[an.tʃʰi.ɾjo.ha.go]
당신의 길은,5,[taŋ.sin.ɯi.kil.ɯn],[daŋ.sin.ɯi.gil.ɯn]
당신의 기술을,5,[taŋ.sin.ɯi.ki.sul.ɯl],[daŋ.sin.ɯi.gi.sul.ɯl]
그들이 지키고,5,[kɯ.tɯl.i.tʃi.kʰi.ko],[gɯ.dɯl.i.dʒi.kʰi.go]
거야 몇몇,5,[kʌ.ja.mjʌt̚.mjʌt̚],[gʌ.ja.mjʌt̚.mjʌt̚]
거야 몇 시간 후에,5,[kʌ.ja.mjʌt̚.si.kan.hu.e],[gʌ.ja.mjʌt̚.si.gan.hu.e]
암 후원할래,5,[am.hu.wʌn.hal.ɾɛ],[am.hu.wʌn.hal.ɾɛ]
암내로 덮이기,5,[am.nɛ.ɾo.tʌp̚.i.ki],[am.nɛ.ɾo.dʌp̚.i.gi]
암내가 어떤데요,5,[am.nɛ.ka.ʌ.t͈ʌn.te.jo],[am.nɛ.ga.ʌ.t͈ʌn.te.jo]
암 환자가,5,[am.hwan.tʃa.ka],[am.hwan.tʃa.ga]
암내로 덮이기 전에 하마,5,[am.nɛ.ɾo.tʌp̚.i.ki.tʃʌn.e.ha.ma],[am.nɛ.ɾo.dʌp̚.i.gi.dʒʌn.e.ha.ma]
암내로 덮이기 전에,5,[am.nɛ.ɾo.tʌp̚.i.ki.tʃʌn.e],[am.nɛ.ɾo.dʌp̚.i.gi.dʒʌn.e]
암만 치료된 게,5,[am.man.tʃʰi.ɾjo.tweŋ.ke],[am.man.tʃʰi.ɾjo.dwen.ge]
암만 치료된,5,[am.man.tʃʰi.ɾjo.twen],[am.man.tʃʰi.ɾjo.dwen]
당신의 나라를,5,[taŋ.sin.ɯi.na.ɾa.ɾɯl],[daŋ.sin.ɯi.na.ɾa.ɾɯl]
당신의 꿈이,5,[taŋ.sin.ɯi.k͈um.i],[daŋ.sin.ɯi.k͈um.i]
암모니아가 많아서,5,[am.mo.ni.a.ka.man.a.sʌ],[am.mo.ni.a.ga.man.a.sʌ]
암모니아 냄새가,5,[am.mo.ni.a.nɛm.sɛ.ka],[am.mo.ni.a.nɛm.sɛ.ga]
암만 치료된 게 아니라,5,[am.man.tʃʰi.ɾjo.tweŋ.ke.a.ni.ɾa],[am.man.tʃʰi.ɾjo.dwen.ge.a.ni.ɾa]
암모니아가 많아서 장시간 호흡하기,5,[am.mo.ni.a.ka.man.a.sʌ.tʃaŋ.si.kan.ho.hɯp̚.ha.ki],[am.mo.ni.a.ga.man.a.sʌ.dʒaŋ.si.gan.ho.hɯp̚.ha.gi]
암브로즈 교수가,5,[am.pɯ.ɾo.tʃɯ.kjo.su.ka],[am.pɯ.ɾo.dʒɯ.gjo.su.ga]
암모니아가 많아서 장시간,5,[am.mo.ni.a.ka.man.a.sʌ.tʃaŋ.si.kan],[am.mo.ni.a.ga.man.a.sʌ.dʒaŋ.si.gan]
암살 명단에,5,[am.sal.mjʌŋ.tan.e],[am.sal.mjʌŋ.dan.e]
당신의 남편에게,5,[taŋ.sin.ɯi.nam.pʰjʌn.e.ke],[daŋ.sin.ɯi.nam.pʰjʌn.e.ge]
그들이 찾기,5,[kɯ.tɯl.i.tʃʰat̚.ki],[gɯ.dɯl.i.tʃʰat̚.ki]
그들이 찾고 있던,5,[kɯ.tɯl.i.tʃʰat̚.ko.it̚.tʌn],[gɯ.dɯl.i.tʃʰat̚.ko.it̚.tʌn]
그들이 진짜 누구인지,5,[kɯ.tɯl.i.tʃin.tʃ͈a.nu.ku.in.tʃi],[gɯ.dɯl.i.dʒin.tʃ͈a.nu.gu.in.tʃi]
암살에 대한,5,[am.sal.e.tɛ.han],[am.sal.e.dɛ.han]
암살 작전을,5,[am.sal.tʃak̚.tʃʌn.ɯl],[am.sal.dʒak̚.tʃʌn.ɯl]
암살 음모를,5,[am.sal.ɯm.mo.ɾɯl],[am.sal.ɯm.mo.ɾɯl]
당신의 노트북에,5,[taŋ.sin.ɯi.no.tʰɯ.puk̚.e],[daŋ.sin.ɯi.no.tʰɯ.buk̚.e]
당신의 뇌에,5,[taŋ.sin.ɯi.nwe.e],[daŋ.sin.ɯi.nwe.e]
암세포를 공격할걸 물론 이런,5,[am.se.pʰo.ɾɯl.koŋ.kjʌk̚.hal.kʌl.mul.ɾon.i.ɾʌn],[am.se.pʰo.ɾɯl.goŋ.gjʌk̚.hal.kʌl.mul.ɾon.i.ɾʌn]
암세포를 공격할걸 물론,5,[am.se.pʰo.ɾɯl.koŋ.kjʌk̚.hal.kʌl.mul.ɾon],[am.se.pʰo.ɾɯl.goŋ.gjʌk̚.hal.kʌl.mul.ɾon]
암세포를 공격할걸,5,[am.se.pʰo.ɾɯl.koŋ.kjʌk̚.hal.kʌl],[am.se.pʰo.ɾɯl.goŋ.gjʌk̚.hal.kʌl]
암스트롱 공원,5,[am.sɯ.tʰɯ.ɾoŋ.koŋ.wʌn],[am.sɯ.tʰɯ.ɾoŋ.goŋ.wʌn]
당신의 눈동자에서,5,[taŋ.sin.ɯi.nun.toŋ.tʃa.e.sʌ],[daŋ.sin.ɯi.nun.toŋ.dʒa.e.sʌ]
당신의 뇌가,5,[taŋ.sin.ɯi.nwe.ka],[daŋ.sin.ɯi.nwe.ga]
당신의 노력이,5,[taŋ.sin.ɯi.no.ɾjʌk̚.i],[daŋ.sin.ɯi.no.ɾjʌk̚.i]
거야 모두의,5,[kʌ.ja.mo.tu.ɯi],[gʌ.ja.mo.du.ɯi]
from when,5,,
암에 걸렸거든,5,[am.e.kʌl.ɾjʌt̚.kʌ.tɯn],[am.e.gʌl.ɾjʌt̚.kʌ.dɯn]
당신의 눈에,5,[taŋ.sin.ɯi.nun.e],[daŋ.sin.ɯi.nun.e]
암으로 죽으면 그래,5,[am.ɯ.ɾo.tʃuk̚.ɯ.mjʌŋ.kɯ.ɾɛ],[am.ɯ.ɾo.dʒuk̚.ɯ.mjʌn.gɯ.ɾɛ]
암으로 죽으면,5,[am.ɯ.ɾo.tʃuk̚.ɯ.mjʌn],[am.ɯ.ɾo.dʒuk̚.ɯ.mjʌn]
암으로 죽어가고 있어,5,[am.ɯ.ɾo.tʃuk̚.ʌ.ka.ko.it̚.ʌ],[am.ɯ.ɾo.dʒuk̚.ʌ.ga.go.it̚.ʌ]
암은 눈뜨고 보기,5,[am.ɯn.nun.t͈ɯ.ko.po.ki],[am.ɯn.nun.t͈ɯ.go.bo.gi]
