Item,Frequency,Formal_IPA,Casual_IPA
천 유로가,7,[tʃʰʌn.ju.ɾo.ka],[tʃʰʌn.ju.ɾo.ga]
계속 외치면 生きることに 滾,7,[kje.sok̚.we.tʃʰi.mjʌn],[gje.sok̚.we.tʃʰi.mjʌn]
미행은 없었어,7,[mi.hɛŋ.ɯn.ʌp̚.ʌt̚.ʌ],[mi.hɛŋ.ɯn.ʌp̚.ʌt̚.ʌ]
천 척의,7,[tʃʰʌn.tʃʰʌk̚.ɯi],[tʃʰʌn.tʃʰʌk̚.ɯi]
천 쪼가리,7,[tʃʰʌn.tʃ͈o.ka.ɾi],[tʃʰʌn.tʃ͈o.ga.ɾi]
천 파운드는,7,[tʃʰʌm.pʰa.un.tɯ.nɯn],[tʃʰʌm.pʰa.un.tɯ.nɯn]
천개의 태양,7,[tʃʰʌŋ.kɛ.ɯi.tʰɛ.jaŋ],[tʃʰʌŋ.kɛ.ɯi.tʰɛ.jaŋ]
천개의 태양 아래서,7,[tʃʰʌŋ.kɛ.ɯi.tʰɛ.jaŋ.a.ɾɛ.sʌ],[tʃʰʌŋ.kɛ.ɯi.tʰɛ.jaŋ.a.ɾɛ.sʌ]
내 친구 잘,7,[nɛ.tʃʰiŋ.ku.tʃal],[nɛ.tʃʰiŋ.ku.dʒal]
Me By Your Name,7,,
천국에 가,7,[tʃʰʌŋ.kuk̚.e.ka],[tʃʰʌŋ.kuk̚.e.ga]
한다면 당신을,7,[han.ta.mjʌn.taŋ.sin.ɯl],[han.ta.mjʌn.daŋ.sin.ɯl]
한다면 당신이,7,[han.ta.mjʌn.taŋ.sin.i],[han.ta.mjʌn.daŋ.sin.i]
날 믿지 않을 거야,7,[nal.mit̚.tʃi.an.ɯl.kʌ.ja],[nal.mit̚.tʃi.an.ɯl.gʌ.ja]
미확인 범,7,[mi.hwak̚.im.pʌm],[mi.hwak̚.in.bʌm]
천국에서 내려온,7,[tʃʰʌŋ.kuk̚.e.sʌ.nɛ.ɾjʌ.on],[tʃʰʌŋ.kuk̚.e.sʌ.nɛ.ɾjʌ.on]
날 밀어내고,7,[nal.mil.ʌ.nɛ.ko],[nal.mil.ʌ.nɛ.go]
천국에서 온,7,[tʃʰʌŋ.kuk̚.e.sʌ.on],[tʃʰʌŋ.kuk̚.e.sʌ.on]
미확인 항공기,7,[mi.hwak̚.in.haŋ.koŋ.ki],[mi.hwak̚.in.haŋ.goŋ.gi]
천국으로 간다,7,[tʃʰʌŋ.kuk̚.ɯ.ɾo.kan.ta],[tʃʰʌŋ.kuk̚.ɯ.ɾo.gan.ta]
천국으로 돌아갈,7,[tʃʰʌŋ.kuk̚.ɯ.ɾo.tol.a.kal],[tʃʰʌŋ.kuk̚.ɯ.ɾo.dol.a.gal]
천국의 문에서요,7,[tʃʰʌŋ.kuk̚.ɯi.mun.e.sʌ.jo],[tʃʰʌŋ.kuk̚.ɯi.mun.e.sʌ.jo]
천국의 샘을,7,[tʃʰʌŋ.kuk̚.ɯi.sɛm.ɯl],[tʃʰʌŋ.kuk̚.ɯi.sɛm.ɯl]
천년 된,7,[tʃʰʌn.njʌn.twen],[tʃʰʌn.njʌn.dwen]
now we know,7,,
날 바라보고,7,[nal.pa.ɾa.po.ko],[nal.ba.ɾa.bo.go]
민 거,7,[miŋ.kʌ],[min.gʌ]
날 바라보지,7,[nal.pa.ɾa.po.tʃi],[nal.ba.ɾa.bo.dʒi]
민간 기업,7,[miŋ.kaŋ.ki.ʌp̚],[miŋ.kan.gi.ʌp̚]
민간 병리학 업계의,7,[miŋ.kam.pjʌŋ.ɾi.hak̚.ʌp̚.kje.ɯi],[miŋ.kan.bjʌŋ.ɾi.hak̚.ʌp̚.kje.ɯi]
민간 기업이,7,[miŋ.kaŋ.ki.ʌp̚.i],[miŋ.kan.gi.ʌp̚.i]
민간 부문으로,7,[miŋ.kam.pu.mun.ɯ.ɾo],[miŋ.kan.bu.mun.ɯ.ɾo]
민간 부문에서,7,[miŋ.kam.pu.mun.e.sʌ],[miŋ.kan.bu.mun.e.sʌ]
천만 원이,7,[tʃʰʌn.man.wʌn.i],[tʃʰʌn.man.wʌn.i]
민간인 한,7,[miŋ.kan.in.han],[miŋ.kan.in.han]
천만에 우리,7,[tʃʰʌn.man.e.u.ɾi],[tʃʰʌn.man.e.u.ɾi]
천만에 헤프타메론,7,[tʃʰʌn.man.e.he.pʰɯ.tʰa.me.ɾon],[tʃʰʌn.man.e.he.pʰɯ.tʰa.me.ɾon]
