Item,Frequency,Formal_IPA,Casual_IPA
아내 얘기는,6,[a.nɛ.jɛ.ki.nɯn],[a.nɛ.jɛ.gi.nɯn]
늦게 일어났어,6,[nɯt̚.ke.il.ʌ.nat̚.ʌ],[nɯt̚.ke.il.ʌ.nat̚.ʌ]
그게 끝이었죠,6,[kɯ.ke.k͈ɯt̚.i.ʌt̚.tʃjo],[gɯ.ge.k͈ɯt̚.i.ʌt̚.tʃjo]
늦게까지 안 자고,6,[nɯt̚.ke.k͈a.tʃi.an.tʃa.ko],[nɯt̚.ke.k͈a.dʒi.an.dʒa.go]
그게 끝인,6,[kɯ.ke.k͈ɯt̚.in],[gɯ.ge.k͈ɯt̚.in]
아내가 그런,6,[a.nɛ.ka.kɯ.ɾʌn],[a.nɛ.ga.gɯ.ɾʌn]
아내가 그를,6,[a.nɛ.ka.kɯ.ɾɯl],[a.nɛ.ga.gɯ.ɾɯl]
아내가 나,6,[a.nɛ.ka.na],[a.nɛ.ga.na]
늦게까지 일,6,[nɯt̚.ke.k͈a.tʃi.il],[nɯt̚.ke.k͈a.dʒi.il]
그게 끝입니다,6,[kɯ.ke.k͈ɯt̚.ip̚.ni.ta],[gɯ.ge.k͈ɯt̚.ip̚.ni.da]
늦게까지 일하네,6,[nɯt̚.ke.k͈a.tʃi.il.ha.ne],[nɯt̚.ke.k͈a.dʒi.il.ha.ne]
그게 나는,6,[kɯ.ke.na.nɯn],[gɯ.ge.na.nɯn]
아내가 다시,6,[a.nɛ.ka.ta.si],[a.nɛ.ga.da.si]
늦게까지 일한다고,6,[nɯt̚.ke.k͈a.tʃi.il.han.ta.ko],[nɯt̚.ke.k͈a.dʒi.il.han.ta.go]
거고요 그렇게,6,[kʌ.ko.jo.kɯ.ɾʌt̚.ke],[gʌ.go.jo.gɯ.ɾʌt̚.ke]
don''t need that,6,,
아내가 될 수,6,[a.nɛ.ka.twel.su],[a.nɛ.ga.dwel.su]
아내가 떠나고,6,[a.nɛ.ka.t͈ʌ.na.ko],[a.nɛ.ga.t͈ʌ.na.go]
잘 알 수는,6,[tʃal.al.su.nɯn],[dʒal.al.su.nɯn]
그게 나라면,6,[kɯ.ke.na.ɾa.mjʌn],[gɯ.ge.na.ɾa.mjʌn]
to go to a,6,,
아내가 사라졌는데,6,[a.nɛ.ka.sa.ɾa.tʃjʌt̚.nɯn.te],[a.nɛ.ga.sa.ɾa.dʒjʌt̚.nɯn.te]
