Item,Frequency,Formal_IPA,Casual_IPA
들어가 봤는데,7,[tɯl.ʌ.ka.pwat̚.nɯn.te],[dɯl.ʌ.ga.bwat̚.nɯn.te]
원하나 봐요,7,[wʌn.ha.na.pwa.jo],[wʌn.ha.na.bwa.jo]
원하는 거 같은데,7,[wʌn.ha.nɯŋ.kʌ.kat̚.ɯn.te],[wʌn.ha.nɯn.gʌ.gat̚.ɯn.te]
들어가 아니,7,[tɯl.ʌ.ka.a.ni],[dɯl.ʌ.ga.a.ni]
원하는 거 있으면,7,[wʌn.ha.nɯŋ.kʌ.it̚.ɯ.mjʌn],[wʌn.ha.nɯn.gʌ.it̚.ɯ.mjʌn]
You have got to,7,,
여성 시신이,7,[jʌ.sʌŋ.si.sin.i],[jʌ.sʌŋ.si.sin.i]
들어가 알았어,7,[tɯl.ʌ.ka.al.at̚.ʌ],[dɯl.ʌ.ga.al.at̚.ʌ]
원하는 거로,7,[wʌn.ha.nɯŋ.kʌ.ɾo],[wʌn.ha.nɯn.gʌ.ɾo]
들어가 우리,7,[tɯl.ʌ.ka.u.ɾi],[dɯl.ʌ.ga.u.ɾi]
가기 싫은 거야,7,[ka.ki.sil.ɯŋ.kʌ.ja],[ga.gi.sil.ɯn.gʌ.ja]
들어가 응,7,[tɯl.ʌ.ka.ɯŋ],[dɯl.ʌ.ga.ɯŋ]
if we do,7,,
그리고 무슨 일이 있었게,7,[kɯ.ɾi.ko.mu.sɯn.il.i.it̚.ʌt̚.ke],[gɯ.ɾi.go.mu.sɯn.il.i.it̚.ʌt̚.ke]
원하는 건 꼭,7,[wʌn.ha.nɯŋ.kʌŋ.k͈ok̚],[wʌn.ha.nɯn.gʌŋ.k͈ok̚]
들어가 있고,7,[tɯl.ʌ.ka.it̚.ko],[dɯl.ʌ.ga.it̚.ko]
원하는 건 네가 아니라,7,[wʌn.ha.nɯŋ.kʌn.ne.ka.a.ni.ɾa],[wʌn.ha.nɯn.gʌn.ne.ga.a.ni.ɾa]
원하는 건 단,7,[wʌn.ha.nɯŋ.kʌn.tan],[wʌn.ha.nɯn.gʌn.dan]
들어가 있어야,7,[tɯl.ʌ.ka.it̚.ʌ.ja],[dɯl.ʌ.ga.it̚.ʌ.ja]
원하는 건 당신이,7,[wʌn.ha.nɯŋ.kʌn.taŋ.sin.i],[wʌn.ha.nɯn.gʌn.daŋ.sin.i]
들어가 있을래,7,[tɯl.ʌ.ka.it̚.ɯl.ɾɛ],[dɯl.ʌ.ga.it̚.ɯl.ɾɛ]
들어가 있을게요,7,[tɯl.ʌ.ka.it̚.ɯl.ke.jo],[dɯl.ʌ.ga.it̚.ɯl.ke.jo]
건데 같이 가실래요,7,[kʌn.te.kat̚.i.ka.sil.ɾɛ.jo],[gʌn.te.gat̚.i.ga.sil.ɾɛ.jo]
