Item,Frequency,Formal_IPA,Casual_IPA
본 적 없죠,10,[pon.tʃʌk̚.ʌp̚.tʃjo],[bon.dʒʌk̚.ʌp̚.tʃjo]
Do I have to,10,,
해서요 당신,10,[hɛ.sʌ.jo.taŋ.sin],[hɛ.sʌ.jo.daŋ.sin]
낮잠을 잘,10,[nat̚.tʃam.ɯl.tʃal],[nat̚.tʃam.ɯl.dʒal]
파커 홀이,10,[pʰa.kʰʌ.hol.i],[pʰa.kʰʌ.hol.i]
해서요 뭐,10,[hɛ.sʌ.jo.mwʌ],[hɛ.sʌ.jo.mwʌ]
파키스탄 정보부,10,[pʰa.kʰi.sɯ.tʰan.tʃʌm.po.pu],[pʰa.kʰi.sɯ.tʰan.dʒʌŋ.bo.bu]
파키스탄에서는 많은 일이,10,[pʰa.kʰi.sɯ.tʰan.e.sʌ.nɯn.man.ɯn.il.i],[pʰa.kʰi.sɯ.tʰan.e.sʌ.nɯn.man.ɯn.il.i]
그토록 찾던,10,[kɯ.tʰo.ɾok̚.tʃʰat̚.tʌn],[gɯ.tʰo.ɾok̚.tʃʰat̚.tʌn]
밥맛 없는,10,[pap̚.mat̚.ʌp̚.nɯn],[bap̚.mat̚.ʌp̚.nɯn]
가능성도 있을까요,10,[ka.nɯŋ.sʌŋ.to.it̚.ɯl.k͈a.jo],[ga.nɯŋ.sʌŋ.do.it̚.ɯl.k͈a.jo]
파트너가 있었다,10,[pʰa.tʰɯ.nʌ.ka.it̚.ʌt̚.ta],[pʰa.tʰɯ.nʌ.ga.it̚.ʌt̚.ta]
파트너들과 함께,10,[pʰa.tʰɯ.nʌ.tɯl.kwa.ham.k͈e],[pʰa.tʰɯ.nʌ.dɯl.kwa.ham.k͈e]
그편이 훨씬,10,[kɯ.pʰjʌn.i.hwʌl.s͈in],[gɯ.pʰjʌn.i.hwʌl.s͈in]
파티 어때요,10,[pʰa.tʰi.ʌ.t͈ɛ.jo],[pʰa.tʰi.ʌ.t͈ɛ.jo]
해수의 힘주는,10,[hɛ.su.ɯi.hin.tʃu.nɯn],[hɛ.su.ɯi.hin.tʃu.nɯn]
밧줄 좀,10,[pat̚.tʃul.tʃom],[bat̚.tʃul.dʒom]
