Item,Frequency
미래를 바꿔,5
날 거야 그럼,5
계속 기다렸죠,5
찾고 있었던 거죠,5
찾고 있었대,5
찾고 있었어요 내가,5
찾고 있었을지도 뭘요,5
미래를 볼 수 있다고,5
미래를 볼 수 있는,5
미래를 보여줘,5
찾고 있었지만,5
미래를 봐요,5
찾고 있으면,5
날 거절할,5
찾고 있을 겁니다,5
미래를 생각하고,5
찾고 있을거야,5
찾고 있을 텐데,5
미래를 생각하는,5
미래를 상상해,5
계속 기도해,5
계속 기다리고 있었잖아,5
계속 기다렸잖아,5
찾고 있을거에요,5
찾곤 했어요,5
미래를 알고 있는,5
날 거쳐야 할,5
미래를 예측할,5
찾기 시작할,5
날 걱정하는 거야,5
찾기 시작했죠,5
계속 꽉,5
간부가 우리 교실에 와서는,5
찾기 위해 노력하고,5
찾기 위해 내가,5
찾기 위해 그리고,5
찾기 위해 뭐든,5
찾기 위해 사람들을 보낸다고요,5
찾기 위해 사람들을,5
미래를 책임질,5
날 건널,5
날 걱정해서,5
날 건데,5
날 건널 때,5
찾기 전에 먼저,5
찾기 전에요,5
찾기 전에 내가 먼저,5
간섭 못,5
간섭 말라고,5
간부가 우리 교실에,5
간부가 우리,5
미래에 내,5
찾기가 쉽지 않아요,5
미래에 대해 스스로 선택할,5
미래에 대해 스스로,5
미래에 대한 기대,5
날 건드리는 거야,5
찾기가 아주,5
찾기가 얼마나 힘든지,5
찾기는 쉽지,5
미래에 무슨 일이,5
미래에 무슨,5
찾기도 쉽고,5
찾기는 힘들,5
찾기를 바라고,5
미래에 어떤 일이,5
미래에 사는,5
날 건드리지도 않아,5
계속 꿈꿔,5
찾기만 하면 된다,5
찾긴 힘들,5
찾긴 했어,5
미래에 어떻게,5
찾길 바라죠,5
미래에 어떤 일이 일어날지,5
찾길 바랍니다,5
찾길 바라지,5
미래에 우리가,5
날 걷어차고,5
날 건들면,5
찾느라 고생 좀,5
찾느라 한참,5
미래에서 말을 거는,5
미래에서 말을,5
미래에서 보낸,5
찾는 거 말이야,5
찾는 거 도와줘,5
미래에서 말을 거는 것도,5
미래에서 내가,5
날 건드릴 수,5
간섭이 심하다,5
찾는 거냐,5
찾는 거네요,5
찾는 거고,5
찾는 거겠죠,5
날 겁주고,5
찾는 거랑 달라서요 인류는,5
찾는 거랑 달라서요,5
날 겁주는,5
계속 낑낑댈 거야,5
계속 낑낑댈,5
미래의 기술을,5
찾는 거잖아요 가족들만,5
미래엔 내가,5
찾는 건 나야,5
찾는 건 내,5
찾는 건 거의,5
찾는 거잖아요 가족들만 생각하지,5
날 겁주지,5
간섭이 심하다 조종간은 통제가,5
찾는 건 이제,5
찾는 건 어려운,5
미래의 애엄마를 납치하고,5
미래의 열쇠를,5
미래의 애엄마를 납치하고 인생,5
미래의 애엄마를,5
날 것 같다,5
찾는 걸 도와주지,5
찾는 걸 도와준,5
미래의 열쇠를 쥐고 있습니다,5
찾는 걸 도와줄게요,5
미래의 왕,5
미래의 열쇠를 쥐고,5
찾는 걸로,5
찾는 걸 알고,5
미래입니다 쿠퍼,5
날 것 같은,5
간섭하긴 싫지만,5
간섭이 심하다 조종간은,5
간섭 좀,5
미래입니다 쿠퍼 어떻게 하죠,5
미래입니다 쿠퍼 어떻게,5
찾는 것보다 더,5
찾는 것만,5
찾는 것부터,5
날 게이로,5
날 것입니다,5
미련이 남은,5
미련을 버릴,5
찾는 게 급선무야,5
찾는 게 그렇게,5
찾는 게 먼저야,5
미련한 놈 두 번,5
찾는 게 뭐든,5
찾는 게 뭔데,5
미로 같아요,5
미련한 놈 두,5
날 겨누고,5
계속 나아가,5
찾는 게 아냐,5
