Item,Frequency
우리 친구들한테,6
두 사람이 정말,6
그렇지 않다는 걸 알고,6
우리 친구와,6
그렇지 않다는 것,6
우리 친구인데,6
주는 지나야,6
두 사람인,6
건 아닌 거 같은데,6
우리 침대를,6
두 사람하고,6
우리 코드를,6
우리 코,6
우리 코치님이,6
우리 코치님,6
그렇지 않다니,6
우리 큰일났어,6
가 이젠,6
두 세계 사이의,6
우리 탈출로를 막으려는 거겠지,6
우리 탈출로를 막으려는,6
우리 탓이에요,6
건 아닌 것 같아서요,6
우리 통신을,6
우리 통하는 게,6
우리 투자,6
우리 통화를,6
우리 통하는,6
그렇지 않더군,6
우리 팀과 나는,6
그렇지 않던데,6
우리 팀엔,6
우리 팀원들은,6
그렇지 않소 내일까지,6
두 손 보이게,6
여기는 줄,6
두 손가락으로,6
그렇지 않소 내일까지 준비할게요,6
가 일,6
두 손으론,6
우리 팀이 다시,6
두 손을 다,6
건 아닌가 보네,6
건 아닌가 보군,6
두 숫자,6
가 일어나,6
우리 편으로 만들 수,6
두 시간 내로,6
그렇지 않아 그는,6
두 시간 정도 걸릴,6
두 시간도 안,6
우리 플랫폼은,6
우리 피가,6
두 시간동안,6
우리 피자 먹으러,6
우리 피부를,6
우리 하고,6
우리 하나씩,6
우리 학교 애들,6
우리 학교도,6
두 시간이면 돼,6
건 아닌데 뭔가,6
우리 학교에선,6
우리 학교에서 제일,6
두 시간이요,6
두 시간이에요,6
건 아닌데 난,6
우리 학원,6
여기더군 그대 경험에,6
그렇지 않아 네,6
우리 한잔,6
두 아들에게,6
우리 할망,6
건 아닌데 이,6
우리 할아버지도,6
그렇지 않아 무슨,6
건 아닌지 모르겠네요,6
두 아이들,6
우리 함께 이,6
그렇지 않아 어떻게,6
우리 함대가,6
두 알 먹고,6
우리 함대의 상당수를 부쉈습니다,6
우리 함선들이,6
우리 함대의 상당수를,6
우리 함선은 알려진,6
건 아닐 거 아냐,6
우리 합의한,6
우리 함선의,6
우리 행복할,6
우리 행성으로,6
그렇지 않아 우리는,6
우리 헤어지는 거야,6
두 영혼이,6
두 요원이,6
그렇지 않아 절대,6
건 아닐 테니까,6
우리 형제들은,6
두 자녀가,6
그렇지 않아요 그냥,6
우리 호텔에서,6
두 자리를,6
두 자매가,6
우리 환자는,6
우리 활동,6
두 작품은,6
우리 회사 최고의,6
가 있겠지,6
우리 회사야,6
그렇지 않아요 그래서,6
우리 회사에서 가장,6
우리 훌륭한,6
두 잔과,6
우리 희생자에,6
그렇지 않아요 당신이,6
두 장 더,6
그렇지 않아요 사실,6
두 장만,6
두 장으로,6
우리가 가는 게,6
우리가 가는 곳은,6
우리가 가능한,6
건 아닐텐데 다들 내,6
두 정거장,6
건 아닐텐데 다들,6
우리가 가자,6
두 조각을,6
건 아닐텐데 조의와,6
우리가 가장 사랑하는,6
두 조로,6
두 조직이,6
그렇지 않았나요,6
우리가 가져가야,6
건 아닐텐데 조의와 축하죠,6
두 종류야,6
우리가 가족인,6
두 종족,6
우리가 가지고 있는 모든,6
두 주 전에,6
두 주 동안,6
우리가 가지고 있다는 것을,6
두 주는,6
우리가 가지지,6
그렇지 않았소,6
가 있는 건,6
두 집 건너,6
우리가 가진 모든 걸,6
건 아닙니다 그럼,6
두 집이,6
우리가 가진걸,6
건 아닙니다 이,6
우리가 갈 곳은,6
우리가 갈 때,6
건 아닙니다 전,6
우리가 감당해야,6
우리가 감시하는,6
두 층을,6
두 추의,6
두 친구를,6
그렇지 않으면 그들이,6
가 있는지,6
우리가 같이 할 수,6
주려 했다,6
우리가 개를,6
두 통이나,6
우리가 거기 있다는,6
우리가 거기 있을,6
두 팀의,6
가 있다고,6
두 팔 벌려 환영할,6
그렇지 않으면 네가,6
두 팔은,6
우리가 걱정할 게,6
우리가 걱정해야 할,6
그렇지 않으면 당신을,6
우리가 겁을,6
우리가 걷는,6
두 팔을 벌려,6
두 팔을 벌리고,6
가 있다는,6
우리가 결정해요,6
두 피해자 사이에,6
우리가 결혼하고,6
건 아무 의미가,6
두 학교,6
우리가 경찰,6
우리가 결혼했다고,6
우리가 경찰이,6
우리가 경험한,6
우리가 계약을,6
두 형제를 잃었다지 사람들은,6
두 형제를 잃었다지,6
우리가 계획한 대로야,6
그렇지 않으면 지금 토스트가,6
두 후보의,6
두가지 다,6
그렇지 않은 것도,6
두 희생자의,6
우리가 과거에 방문한 사람,6
우리가 과거에 방문한,6
우리가 관심 있는,6
우리가 괜찮다는,6
건 아무것도 없는,6
가 있어 내가,6
우리가 구해 줄게,6
두개 주세요,6
두개골 골절,6
두개골 조각이,6
주려고 했었어,6
건 아무것도 없단다,6
그렇지 않은지,6
우리가 그 문을,6
우리가 그 모든,6
우리가 그 안에,6
우리가 그 사람들,6
우리가 그 집을,6
우리가 그 정도로,6
두걸 매켄지,6
우리가 그걸 증명할,6
두걸 매켄지가,6
가 있었어요,6
우리가 그날,6
우리가 그곳에 도착했을 때,6
그렇지 않을 수도 있어요,6
우리가 그녀에 대해,6
우리가 그녀에,6
우리가 그들,6
우리가 그들에,6
우리가 그들을 볼 수,6
우리가 그들을 잡을,6
우리가 그들을 볼,6
두고 가는 거야,6
두고 가도 돼요,6
우리가 그래야 한다고,6
우리가 그랬어,6
우리가 그러면,6
주로 데이브는 주로 저한테,6
우리가 그렇게 생각하길,6
우리가 그렇게 많은,6
우리가 그렇게 하지,6
우리가 그렇게 할 수,6
그렇지 않지요,6
두고 가야지,6
우리가 그렇지 않다는,6
우리가 그만큼,6
우리가 그쪽으로,6
우리가 기꺼이,6
건 아무도 모르는,6
두고 가진 않을,6
그렇지 어쨌든 털어놓지 않다니,6
그렇지 어쨌든 털어놓지,6
우리가 기억을,6
우리가 기록을,6
두고 간 거지,6
두고 간 건,6
그렇지 언젠간,6
두고 간 것 같아요,6
우리가 꿈꿔왔던,6
우리가 꿈꾸는,6
두고 간 줄,6
우리가 끝내야 돼,6
그렇지 여기는,6
우리가 나가면,6
우리가 나가는,6
건 아무도 원치,6
우리가 나서지,6
우리가 나오길,6
우리가 나소를,6
건 아무렇지도,6
우리가 나온 걸,6
우리가 날,6
두고 갈 수도,6
그렇지 옳지,6
그렇지 완전,6
두고 갔거든요,6
우리가 너무 일찍,6
우리가 너보다,6
우리가 널 잡을 거야,6
주로 저한테 의지를 하는데,6
두고 갔을,6
우리가 네 동생을,6
우리가 네 차를,6
두고 나머지는,6
우리가 누구고 왜,6
두고 나왔어,6
우리가 누구야,6
가 있을걸,6
우리가 누구인지를,6
우리가 누군데,6
우리가 누군데요,6
건 아셨나요,6
우리가 누군지는,6
우리가 눈이,6
두고 떠나,6
두고 두,6
우리가 늦게,6
그렇지 잠시만,6
건 아쉽지만,6
우리가 다 하는데,6
우리가 다 알아서,6
우리가 다루고,6
우리가 다 함께,6
우리가 다룰,6
가 있을 테니까,6
우리가 다시 만나는,6
우리가 다시 볼,6
건 아시오,6
우리가 다음에,6
우리가 단순히,6
두고 떠났다,6
우리가 당신 추적복을 트래커에서,6
우리가 당신들,6
우리가 당신 추적복을,6
우리가 당신을 위해,6
우리가 당신을 도울 수,6
두고 모든,6
두고 무슨,6
우리가 닿을 수,6
우리가 닿을,6
두고 보겠다,6
우리가 더 많은 것을,6
두고 바람피운,6
두고 뭘,6
우리가 더 잘할,6
우리가 더 좋은,6
건 아우,6
우리가 데려갈,6
우리가 데려와야,6
그렇지 지난,6
우리가 데이트할,6
그렇지 지금은,6
우리가 도와주지 않으면,6
우리가 도와줄 거야,6
두고 보자꾸나,6
그렇지 클라라,6
두고 볼 거야,6
건 아주 힘든,6
우리가 도움이 될,6
우리가 돌볼게,6
두고 볼 수는 없어,6
우리가 동의 한,6
두고 봐야겠지,6
두고 봐요 뭐,6
두고 생각해,6
우리가 두려워했던,6
그렇지는 않지 계획이,6
우리가 뒤에,6
그렇지는 않지 계획이 있을,6
우리가 따라갈,6
우리가 따라야,6
건 안 됩니다,6
우리가 떠나게,6
그렇지만 계속,6
건 안 될,6
두고 어서,6
우리가 떠날 때,6
우리가 떠날 수,6
건 안 무서워,6
우리가 또 다른,6
그렇지만 그걸,6
두고 오는 게,6
우리가 릴리를,6
두고 오라고,6
우리가 마약,6
가 자네가,6
우리가 마지막으로 만났을,6
두고 온 건,6
그렇지만 그들은,6
건 안 봐도,6
우리가 막은,6
우리가 막을 수 있어,6
우리가 만나,6
우리가 만나게 된,6
두고 와요,6
두고 왔거든,6
가 잔교 끝까지 가,6
건 안 하고,6
우리가 만나지 않았던 시간으로,6
우리가 만나지 않았던,6
우리가 만난 게,6
우리가 만난 순간부터,6
건 안 할 거야,6
그렇지만 너는,6
두고 왔으니까,6
우리가 만들어낸,6
두고 이런,6
우리가 말하고 있는 거야,6
우리가 말하고 있는 바로는,6
그렇지만 당신도,6
