Order Number,Pinyin,Correct_Character,Frequency,Definition,Usage,Part_of_Speech,Choice_A,Choice_B,Choice_C,Choice_D,Choice_E,Correct_Choice
1,de,的,3678,"Possessive particle that shows ownership or describes a relationship between nouns, similar to 's or 'of' in English. Also used to mark adjectives modifying nouns.","Used in phrases like 我的书 (my book), 红的花 (red flowers), 中国的首都 (China's capital)",particle,说,脸,的,和,起,C
2,yi1,一,1982,The number one; also used as an indefinite article similar to 'a/an' in English.,Common in counting and quantifying expressions like 一个人 (one person) or 一本书 (a book),number,长,魔,开,来,一,E
3,le,了,1821,Aspect particle that indicates completion of an action or a change of state. Also used at the end of sentences to show that a new situation has occurred.,Placed after verbs (我吃了饭 - I ate) or at sentence end (下雨了 - It's raining now),particle,黑,了,小,得,斯,B
4,ta1,他,1636,"Third-person singular pronoun meaning 'he' or 'him', used to refer to a male person or sometimes gender-neutral.",Used in sentences like 他是老师 (he is a teacher),pronoun,进,他,知,都,话,B
5,di4,地,1162,"Earth, ground, or land; refers to the surface we stand on or a piece of territory.","Common in words like 土地 (land), 地方 (place), 地球 (Earth)",noun,住,要,自,抓,地,E
6,bu4,不,1117,"Negative adverb meaning 'not' or 'no', used to negate verbs, adjectives, and certain other words.","Used in phrases like 不是 (is not), 不好 (not good), 不去 (not go). Note: changes to 'bú' (2nd tone) before 4th tone syllables.",adverb,面,见,中,不,火,D
7,zai4,在,1087,"Indicates location or ongoing action; means 'at', 'in', or 'on' when showing where something is, and forms the progressive tense (similar to '-ing') when placed before verbs.",Used in phrases like 我在家 (I'm at home) or 我在看书 (I am reading),preposition/verb,向,可,在,教,杖,C
8,zhe,着,1016,"Aspect particle that indicates an ongoing state or continuous action, similar to '-ing' in English. Also shows that an action is in progress or a state is being maintained.","Attached directly after verbs, as in 坐着 (sitting), 穿着 (wearing), 开着 (open/turned on)",particle,根,怪,间,她,着,E
9,shi4,是,1015,"The verb 'to be' used to link a subject with a noun or noun phrase, indicating identity or classification.",Used in sentences like 我是学生 (I am a student) or 这是书 (This is a book),verb,妈,抓,是,还,口,C
10,ge4,个,814,"The most common measure word (classifier) in Mandarin, used for counting general objects and people when no specific classifier applies.","Used in phrases like 一个人 (one person), 三个苹果 (three apples)",measure word,沉,告,然,个,兰,D
11,li4,利,800,"Benefit, profit, or advantage; also means sharp or favorable. Commonly used in business and economic contexts to refer to gains or interests.","Found in words like 利益 (benefit/interest), 胜利 (victory), and 利用 (to utilize)",noun/adjective,利,吧,发,些,杯,A
12,wo3,我,789,The first-person singular pronoun meaning 'I' or 'me'. One of the most fundamental and frequently used words in Mandarin Chinese.,Used as the subject (我是学生 - I am a student) or object (他看见我 - He sees me) in sentences,pronoun,惊,像,拉,正,我,E
13,ha1,哈,718,An onomatopoeia representing laughter or a sound of exhaling; also used as a phonetic component in transliterations of foreign words,"Common in expressions like 哈哈 (haha, laughter) and names like 哈尔滨 (Harbin)",onomatopoeia/interjection,才,完,哈,脸,刚,C
14,shuo1,说,692,"To say, speak, or talk; to explain or tell something to someone.","Common in everyday conversation, as in 说话 (to speak) or 他说 (he says)",verb,狼,话,说,防,怪,C
15,men,们,653,Plural suffix added to pronouns and nouns referring to people to indicate more than one person.,"Used in words like 我们 (we/us), 你们 (you all), 孩子们 (children)",particle,书,怎,东,工,们,E
