Order Number,Item,Pinyin,Frequency,Choice_Tone1,Choice_Tone2,Choice_Tone3,Choice_Tone4,Choice_Neutral,Correct_Answer
1,的,de,3678,de1,de2,de3,de4,de,de
2,一,yi1,1982,yi1,yi2,yi3,yi4,yi,yi1
3,了,le,1821,le1,le2,le3,le4,le,le
4,他,ta1,1636,ta1,ta2,ta3,ta4,ta,ta1
5,地,di4,1162,di1,di2,di3,di4,di,di4
6,不,bu4,1117,bu1,bu2,bu3,bu4,bu,bu4
7,在,zai4,1087,zai1,zai2,zai3,zai4,zai,zai4
8,着,zhe,1016,zhe1,zhe2,zhe3,zhe4,zhe,zhe
9,是,shi4,1015,shi1,shi2,shi3,shi4,shi,shi4
10,个,ge4,814,ge1,ge2,ge3,ge4,ge,ge4
11,利,li4,800,li1,li2,li3,li4,li,li4
12,我,wo3,789,wo1,wo2,wo3,wo4,wo,wo3
13,哈,ha1,718,ha1,ha2,ha3,ha4,ha,ha1
14,说,shuo1,692,shuo1,shuo2,shuo3,shuo4,shuo,shuo1
15,们,men,653,men1,men2,men3,men4,men,men
16,有,you3,648,you1,you2,you3,you4,you,you3
17,上,shang4,620,shang1,shang2,shang3,shang4,shang,shang4
18,你,ni3,614,ni1,ni2,ni3,ni4,ni,ni3
19,里,li3,610,li1,li2,li3,li4,li,li3
20,这,zhe4,574,zhe1,zhe2,zhe3,zhe4,zhe,zhe4
21,来,lai2,525,lai1,lai2,lai3,lai4,lai,lai2
22,那,na4,477,na1,na2,na3,na4,na,na4
23,人,ren2,476,ren1,ren2,ren3,ren4,ren,ren2
24,到,dao4,469,dao1,dao2,dao3,dao4,dao,dao4
25,么,me,454,me1,me2,me3,me4,me,me
26,把,ba3,433,ba1,ba2,ba3,ba4,ba,ba3
27,看,kan4,419,kan1,kan2,kan3,kan4,kan,kan4
28,得,de2,399,de1,de2,de3,de4,de,de2
29,没,mei2,371,mei1,mei2,mei3,mei4,mei,mei2
30,和,he2,358,he1,he2,he3,he4,he,he2
31,大,da4,356,da1,da2,da3,da4,da,da4
32,就,jiu4,352,jiu1,jiu2,jiu3,jiu4,jiu,jiu4
33,声,sheng1,338,sheng1,sheng2,sheng3,sheng4,sheng,sheng1
34,道,dao4,321,dao1,dao2,dao3,dao4,dao,dao4
35,都,dou1,315,dou1,dou2,dou3,dou4,dou,dou1
36,过,guo4,299,guo1,guo2,guo3,guo4,guo,guo4
37,会,hui4,294,hui1,hui2,hui3,hui4,hui,hui4
38,头,tou2,293,tou1,tou2,tou3,tou4,tou,tou2
39,出,chu1,282,chu1,chu2,chu3,chu4,chu,chu1
40,多,duo1,280,duo1,duo2,duo3,duo4,duo,duo1
41,魔,mo2,275,mo1,mo2,mo3,mo4,mo,mo2
42,要,yao4,272,yao1,yao2,yao3,yao4,yao,yao4
43,去,qu4,270,qu1,qu2,qu3,qu4,qu,qu4
44,子,zi,269,zi1,zi2,zi3,zi4,zi,zi
45,什,shen2,268,shen1,shen2,shen3,shen4,shen,shen2
46,想,xiang3,264,xiang1,xiang2,xiang3,xiang4,xiang,xiang3
47,也,ye3,260,ye1,ye2,ye3,ye4,ye,ye3
48,下,xia4,253,xia1,xia2,xia3,xia4,xia,xia4
49,见,jian4,253,jian1,jian2,jian3,jian4,jian,jian4
50,能,neng2,244,neng1,neng2,neng3,neng4,neng,neng2
51,只,zhi3,239,zhi1,zhi2,zhi3,zhi4,zhi,zhi3
52,小,xiao3,239,xiao1,xiao2,xiao3,xiao4,xiao,xiao3
53,从,cong2,237,cong1,cong2,cong3,cong4,cong,cong2
54,起,qi3,231,qi1,qi2,qi3,qi4,qi,qi3
55,生,sheng1,229,sheng1,sheng2,sheng3,sheng4,sheng,sheng1
56,可,ke3,222,ke1,ke2,ke3,ke4,ke,ke3
57,好,hao3,218,hao1,hao2,hao3,hao4,hao,hao3
58,格,ge2,218,ge1,ge2,ge3,ge4,ge,ge2
59,很,hen3,216,hen1,hen2,hen3,hen4,hen,hen3
60,对,dui4,208,dui1,dui2,dui3,dui4,dui,dui4
61,走,zou3,206,zou1,zou2,zou3,zou4,zou,zou3
62,为,wei4,205,wei1,wei2,wei3,wei4,wei,wei4
63,她,ta1,205,ta1,ta2,ta3,ta4,ta,ta1
64,知,zhi1,205,zhi1,zhi2,zhi3,zhi4,zhi,zhi1
65,罗,luo2,204,luo1,luo2,luo3,luo4,luo,luo2
66,眼,yan3,201,yan1,yan2,yan3,yan4,yan,yan3
67,恩,en1,195,en1,en2,en3,en4,en,en1
68,时,shi2,195,shi1,shi2,shi3,shi4,shi,shi2
69,又,you4,191,you1,you2,you3,you4,you,you4
70,还,hai2,189,hai1,hai2,hai3,hai4,hai,hai2
71,开,kai1,184,kai1,kai2,kai3,kai4,kai,kai1
72,天,tian1,178,tian1,tian2,tian3,tian4,tian,tian1
73,学,xue2,175,xue1,xue2,xue3,xue4,xue,xue2
74,自,zi4,175,zi1,zi2,zi3,zi4,zi,zi4
75,法,fa3,174,fa1,fa2,fa3,fa4,fa,fa3
76,气,qi4,173,qi1,qi2,qi3,qi4,qi,qi4
77,然,ran2,173,ran1,ran2,ran3,ran4,ran,ran2
78,用,yong4,171,yong1,yong2,yong3,yong4,yong,yong4
79,后,hou4,170,hou1,hou2,hou3,hou4,hou,hou4
80,以,yi3,169,yi1,yi2,yi3,yi4,yi,yi3
81,身,shen1,169,shen1,shen2,shen3,shen4,shen,shen1
82,赫,he4,167,he1,he2,he3,he4,he,he4
83,望,wang4,166,wang1,wang2,wang3,wang4,wang,wang4
84,发,fa1,165,fa1,fa2,fa3,fa4,fa,fa1
85,面,mian4,164,mian1,mian2,mian3,mian4,mian,mian4
86,手,shou3,163,shou1,shou2,shou3,shou4,shou,shou3
87,样,yang4,158,yang1,yang2,yang3,yang4,yang,yang4
88,斯,si1,156,si1,si2,si3,si4,si,si1
89,己,ji3,153,ji1,ji2,ji3,ji4,ji,ji3
90,敏,min3,151,min1,min2,min3,min4,min,min3
91,像,xiang4,148,xiang1,xiang2,xiang3,xiang4,xiang,xiang4
92,它,ta1,148,ta1,ta2,ta3,ta4,ta,ta1
93,最,zui4,148,zui1,zui2,zui3,zui4,zui,zui4
94,事,shi4,139,shi1,shi2,shi3,shi4,shi,shi4
95,意,yi4,138,yi1,yi2,yi3,yi4,yi,yi4
96,教,jiao4,138,jiao1,jiao2,jiao3,jiao4,jiao,jiao4
97,奇,qi2,136,qi1,qi2,qi3,qi4,qi,qi2
98,脸,lian3,133,lian1,lian2,lian3,lian4,lian,lian3
99,儿,er2,132,er1,er2,er3,er4,er,er2
100,克,ke4,132,ke1,ke2,ke3,ke4,ke,ke4
101,听,ting1,130,ting1,ting2,ting3,ting4,ting,ting1
